,MV,P,VA,VO
1990-01-01,,,,
1990-02-01,,,,
1990-03-01,,,,
1990-04-01,,,,
1990-05-01,,,,
1990-06-01,,,,
1990-07-01,,,,
1990-08-01,,,,
1990-09-01,,,,
1990-10-01,,,,
1990-11-01,,,,
1990-12-01,,,,
1991-01-01,,,,
1991-02-01,,,,
1991-03-01,,,,
1991-04-01,,,,
1991-05-01,,,,
1991-06-01,,,,
1991-07-01,,,,
1991-08-01,,,,
1991-09-01,,,,
1991-10-01,,,,
1991-11-01,,,,
1991-12-01,,,,
1992-01-01,,,,
1992-02-01,,,,
1992-03-01,,,,
1992-04-01,,,,
1992-05-01,,,,
1992-06-01,,,,
1992-07-01,,,,
1992-08-01,,,,
1992-09-01,,,,
1992-10-01,,,,
1992-11-01,,,,
1992-12-01,,,,
1993-01-01,,,,
1993-02-01,,,,
1993-03-01,,,,
1993-04-01,,,,
1993-05-01,,,,
1993-06-01,,,,
1993-07-01,,,,
1993-08-01,,,,
1993-09-01,,,,
1993-10-01,,,,
1993-11-01,,,,
1993-12-01,,,,
1994-01-01,,,,
1994-02-01,,,,
1994-03-01,,,,
1994-04-01,,,,
1994-05-01,,,,
1994-06-01,,,,
1994-07-01,,,,
1994-08-01,,,,
1994-09-01,,,,
1994-10-01,,,,
1994-11-01,,,,
1994-12-01,,,,
1995-01-01,,,,
1995-02-01,,,,
1995-03-01,,,,
1995-04-01,,,,
1995-05-01,,,,
1995-06-01,,,,
1995-07-01,,,,
1995-08-01,,,,
1995-09-01,,,,
1995-10-01,,,,
1995-11-01,,,,
1995-12-01,,,,
1996-01-01,,,,
1996-02-01,,,,
1996-03-01,,,,
1996-04-01,,,,
1996-05-01,,,,
1996-06-01,,,,
1996-07-01,,,,
1996-08-01,,,,
1996-09-01,,,,
1996-10-01,,,,
1996-11-01,,,,
1996-12-01,,,,
1997-01-01,,,,
1997-02-01,,,,
1997-03-01,,,,
1997-04-01,,,,
1997-05-01,,,,
1997-06-01,,,,
1997-07-01,,,,
1997-08-01,,,,
1997-09-01,,,,
1997-10-01,,,,
1997-11-01,,,,
1997-12-01,,,,
1998-01-01,,,,
1998-02-01,,,,
1998-03-01,,,,
1998-04-01,,,,
1998-05-01,,,,
1998-06-01,,,,
1998-07-01,,,,
1998-08-01,,,,
1998-09-01,,,,
1998-10-01,,,,
1998-11-01,,,,
1998-12-01,,,,
1999-01-01,,,,
1999-02-01,,,,
1999-03-01,,,,
1999-04-01,,,,
1999-05-01,,,,
1999-06-01,,,,
1999-07-01,,,,
1999-08-01,,,,
1999-09-01,,,,
1999-10-01,,,,
1999-11-01,,,,
1999-12-01,,,,
2000-01-01,,,,
2000-02-01,,,,
2000-03-01,,,,
2000-04-01,,,,
2000-05-01,,,,
2000-06-01,,,,
2000-07-01,,,,
2000-08-01,,,,
2000-09-01,,,,
2000-10-01,,,,
2000-11-01,,,,
2000-12-01,,,,
2001-01-01,,,,
2001-02-01,,,,
2001-03-01,,,,
2001-04-01,,,,
2001-05-01,,,,
2001-06-01,,,,
2001-07-01,,,,
2001-08-01,,,,
2001-09-01,,,,
2001-10-01,,,,
2001-11-01,,,,
2001-12-01,,,,
2002-01-01,,,,
2002-02-01,,,,
2002-03-01,,,,
2002-04-01,,,,
2002-05-01,,,,
2002-06-01,,,,
2002-07-01,,,,
2002-08-01,,,,
2002-09-01,,,,
2002-10-01,,,,
2002-11-01,,,,
2002-12-01,,,,
2003-01-01,,,,
2003-02-01,,,,
2003-03-01,,,,
2003-04-01,,,,
2003-05-01,,,,
2003-06-01,,,,
2003-07-01,,,,
2003-08-01,,,,
2003-09-01,,,,
2003-10-01,,,,
2003-11-01,,,,
2003-12-01,,,,
2004-01-01,,,,
2004-02-01,,,,
2004-03-01,,,,
2004-04-01,,,,
2004-05-01,,,,
2004-06-01,,,,
2004-07-01,,,,
2004-08-01,,,,
2004-09-01,,,,
2004-10-01,,,,
2004-11-01,,,,
2004-12-01,,,,
2005-01-01,,,,
2005-02-01,,,,
2005-03-01,,,,
2005-04-01,,,,
2005-05-01,,,,
2005-06-01,,,,
2005-07-01,,,,
2005-08-01,,,,
2005-09-01,,,,
2005-10-01,,,,
2005-11-01,,,,
2005-12-01,,,,
2006-01-01,,,,
2006-02-01,,,,
2006-03-01,,,,
2006-04-01,,,,
2006-05-01,,,,
2006-06-01,,,,
2006-07-01,,,,
2006-08-01,,,,
2006-09-01,,,,
2006-10-01,,,,
2006-11-01,,,,
2006-12-01,,,,
2007-01-01,,,,
2007-02-01,,,,
2007-03-01,,,,
2007-04-01,,,,
2007-05-01,,,,
2007-06-01,,,,
2007-07-01,,,,
2007-08-01,,,,
2007-09-01,,,,
2007-10-01,,,,
2007-11-01,,,,
2007-12-01,,,,
2008-01-01,,,,
2008-02-01,,,,
2008-03-01,,,,
2008-04-01,,,,
2008-05-01,,,,
2008-06-01,,,,
2008-07-01,,,,
2008-08-01,,,,
2008-09-01,,,,
2008-10-01,,,,
2008-11-01,,,,
2008-12-01,,,,
2009-01-01,,,,
2009-02-01,,,,
2009-03-01,,,,
2009-04-01,,,,
2009-05-01,,,,
2009-06-01,,,,
2009-07-01,,,,
2009-08-01,,,,
2009-09-01,,,,
2009-10-01,,,,
2009-11-01,,,,
2009-12-01,,,,
2010-01-01,,,,
2010-02-01,,,,
2010-03-01,,,,
2010-04-01,,,,
2010-05-01,,,,
2010-06-01,,,,
2010-07-01,,,,
2010-08-01,,,,
2010-09-01,,,,
2010-10-01,,,,
2010-11-01,,,,
2010-12-01,,,,
2011-01-01,,,,
2011-02-01,,,,
2011-03-01,,,,
2011-04-01,,,,
2011-05-01,,,,
2011-06-01,,,,
2011-07-01,,,,
2011-08-01,,,,
2011-09-01,,,,
2011-10-01,,,,
2011-11-01,,,,
2011-12-01,,,,
2012-01-01,,,,
2012-02-01,,,,
2012-03-01,,,,
2012-04-01,65432.08,5.57,13449660.0,2156329.0
2012-05-01,69191.19,5.89,5322303.0,920754.8
2012-06-01,65314.57,5.56,3952838.0,693749.3
2012-07-01,56856.57,4.84,2885517.0,569628.5
2012-08-01,53919.78,4.59,1958846.0,413640.9
2012-09-01,50160.64,4.27,1363484.0,299438.6
2012-10-01,48751.0,4.15,1586387.0,371115.8
2012-11-01,53919.78,4.59,1664474.0,375028.9
2012-12-01,53684.84,4.57,1497123.0,334042.6
2013-01-01,62260.3,5.3,3407902.0,685144.1
2013-02-01,62612.72,5.33,3133135.0,599758.4
2013-03-01,58266.25,4.96,2320901.0,441980.6
2013-04-01,58148.78,4.95,2631543.0,543225.8
2013-05-01,58148.78,4.95,1696650.0,336740.5
2013-06-01,58031.31,4.94,1751590.0,349436.1
2013-07-01,48163.63,4.1,1281048.0,297423.9
2013-08-01,47458.79,4.04,1658809.0,416357.1
2013-09-01,47576.27,4.05,1594852.0,389790.6
