,MV,P,VA,VO
1990-01-01,,,,
1990-02-01,,,,
1990-03-01,,,,
1990-04-01,,,,
1990-05-01,,,,
1990-06-01,,,,
1990-07-01,,,,
1990-08-01,,,,
1990-09-01,,,,
1990-10-01,,,,
1990-11-01,,,,
1990-12-01,,,,
1991-01-01,,,,
1991-02-01,,,,
1991-03-01,,,,
1991-04-01,,,,
1991-05-01,,,,
1991-06-01,,,,
1991-07-01,,,,
1991-08-01,,,,
1991-09-01,,,,
1991-10-01,,,,
1991-11-01,,,,
1991-12-01,,,,
1992-01-01,,,,
1992-02-01,,,,
1992-03-01,,,,
1992-04-01,,,,
1992-05-01,,,,
1992-06-01,,,,
1992-07-01,,,,
1992-08-01,,,,
1992-09-01,,,,
1992-10-01,,,,
1992-11-01,,,,
1992-12-01,,,,
1993-01-01,,,,
1993-02-01,,,,
1993-03-01,,,,
1993-04-01,,,,
1993-05-01,,,,
1993-06-01,,,,
1993-07-01,,,,
1993-08-01,,,,
1993-09-01,,,,
1993-10-01,,,,
1993-11-01,,,,
1993-12-01,,,,
1994-01-01,,,,
1994-02-01,,,,
1994-03-01,,,,
1994-04-01,,,,
1994-05-01,,,,
1994-06-01,,,,
1994-07-01,,,,
1994-08-01,,,,
1994-09-01,,,,
1994-10-01,,,,
1994-11-01,,,,
1994-12-01,,,,
1995-01-01,,,,
1995-02-01,,,,
1995-03-01,,,,
1995-04-01,,,,
1995-05-01,,,,
1995-06-01,,,,
1995-07-01,,,,
1995-08-01,,,,
1995-09-01,,,,
1995-10-01,,,,
1995-11-01,,,,
1995-12-01,,,,
1996-01-01,,,,
1996-02-01,,,,
1996-03-01,,,,
1996-04-01,,,,
1996-05-01,,,,
1996-06-01,,,,
1996-07-01,,,,
1996-08-01,,,,
1996-09-01,,,,
1996-10-01,,,,
1996-11-01,,,,
1996-12-01,,,,
1997-01-01,,,,
1997-02-01,,,,
1997-03-01,,,,
1997-04-01,,,,
1997-05-01,,,,
1997-06-01,,,,
1997-07-01,,,,
1997-08-01,,,,
1997-09-01,,,,
1997-10-01,,,,
1997-11-01,,,,
1997-12-01,,,,
1998-01-01,,,,
1998-02-01,,,,
1998-03-01,,,,
1998-04-01,,,,
1998-05-01,,,,
1998-06-01,,,,
1998-07-01,,,,
1998-08-01,,,,
1998-09-01,,,,
1998-10-01,,,,
1998-11-01,,,,
1998-12-01,,,,
1999-01-01,,,,
1999-02-01,,,,
1999-03-01,,,,
1999-04-01,,,,
1999-05-01,,,,
1999-06-01,,,,
1999-07-01,,,,
1999-08-01,,,,
1999-09-01,,,,
1999-10-01,,,,
1999-11-01,,,,
1999-12-01,,,,
2000-01-01,,,,
2000-02-01,,,,
2000-03-01,,,,
2000-04-01,,,,
2000-05-01,,,,
2000-06-01,,,,
2000-07-01,,,,
2000-08-01,,,,
2000-09-01,,,,
2000-10-01,,,,
2000-11-01,,,,
2000-12-01,,,,
2001-01-01,,,,
2001-02-01,,,,
2001-03-01,,,,
2001-04-01,,,,
2001-05-01,,,,
2001-06-01,,,,
2001-07-01,,,,
2001-08-01,,,,
2001-09-01,,,,
2001-10-01,,,,
2001-11-01,,,,
2001-12-01,,,,
2002-01-01,,,,
2002-02-01,,,,
2002-03-01,,,,
2002-04-01,,,,
2002-05-01,,,,
2002-06-01,,,,
2002-07-01,,,,
2002-08-01,,,,
2002-09-01,,,,
2002-10-01,,,,
2002-11-01,,,,
2002-12-01,,,,
2003-01-01,,,,
2003-02-01,,,,
2003-03-01,,,,
2003-04-01,,,,
2003-05-01,,,,
2003-06-01,,,,
2003-07-01,,,,
2003-08-01,,,,
2003-09-01,,,,
2003-10-01,,,,
2003-11-01,,,,
2003-12-01,,,,
2004-01-01,,,,
2004-02-01,,,,
2004-03-01,,,,
2004-04-01,,,,
2004-05-01,,,,
2004-06-01,,,,
2004-07-01,,,,
2004-08-01,,,,
2004-09-01,,,,
2004-10-01,,,,
2004-11-01,,,,
2004-12-01,,,,
2005-01-01,,,,
2005-02-01,,,,
2005-03-01,,,,
2005-04-01,,,,
2005-05-01,,,,
2005-06-01,,,,
2005-07-01,,,,
2005-08-01,,,,
2005-09-01,,,,
2005-10-01,,,,
2005-11-01,,,,
2005-12-01,,,,
2006-01-01,,,,
2006-02-01,,,,
2006-03-01,,,,
2006-04-01,,,,
2006-05-01,,,,
2006-06-01,,,,
2006-07-01,,,,
2006-08-01,,,,
2006-09-01,,,,
2006-10-01,,,,
2006-11-01,,,,
2006-12-01,,,,
2007-01-01,,,,
2007-02-01,,,,
2007-03-01,,,,
2007-04-01,,,,
2007-05-01,,,,
2007-06-01,,,,
2007-07-01,,,,
2007-08-01,,,,
2007-09-01,,,,
2007-10-01,,,,
2007-11-01,,,,
2007-12-01,,,,
2008-01-01,,,,
2008-02-01,,,,
2008-03-01,,,,
2008-04-01,,,,
2008-05-01,,,,
2008-06-01,,,,
2008-07-01,,,,
2008-08-01,,,,
2008-09-01,,,,
2008-10-01,,,,
2008-11-01,,,,
2008-12-01,,,,
2009-01-01,,,,
2009-02-01,,,,
2009-03-01,,,,
2009-04-01,,,,
2009-05-01,,,,
2009-06-01,,,,
2009-07-01,,,,
2009-08-01,,,,
2009-09-01,,,,
2009-10-01,,,,
2009-11-01,,,,
2009-12-01,,,,
2010-01-01,,,,
2010-02-01,,,,
2010-03-01,,,,
2010-04-01,,,,
2010-05-01,,,,
2010-06-01,,,,
2010-07-01,,,,
2010-08-01,,,,
2010-09-01,,,,
2010-10-01,,,,
2010-11-01,,,,
2010-12-01,,,,
2011-01-01,,,,
2011-02-01,,,,
2011-03-01,,,,
2011-04-01,,,,
2011-05-01,,,,
2011-06-01,,,,
2011-07-01,,,,
2011-08-01,,,,
2011-09-01,,,,
2011-10-01,25035.16,4.15,2001957.0,488171.6
2011-11-01,24492.67,4.06,5622932.0,1370941.0
2011-12-01,22382.96,3.71,1934968.0,489205.4
2012-01-01,24050.63,3.99,1104960.0,290175.5
2012-02-01,24914.61,4.13,1385836.0,331230.5
2012-03-01,28973.28,4.81,2307598.0,511008.5
2012-04-01,27044.4,4.49,2095102.0,448398.3
2012-05-01,29897.53,4.96,1462818.0,308326.3
2012-06-01,33554.34,5.57,2134061.0,395780.8
2012-07-01,33112.31,5.49,2063538.0,365226.1
2012-08-01,33373.49,5.54,1671241.0,311850.3
2012-09-01,30279.29,5.02,1673483.0,326833.1
2012-10-01,35222.02,5.84,1075351.0,197059.1
2012-11-01,39260.59,6.51,1290077.0,210055.8
2012-12-01,37130.8,6.16,1566545.0,254011.8
2013-01-01,47619.03,7.9,1937524.0,280087.8
2013-02-01,55877.02,9.27,3127614.0,356698.3
2013-03-01,60237.09,9.99,1581574.0,161931.4
2013-04-01,63592.49,10.55,2767270.0,263509.4
2013-05-01,72111.69,11.96,2413921.0,226312.0
2013-06-01,71026.69,11.78,4129657.0,330087.9
