,MV,P,PE,VO
1992-12-28,,,,
1993-01-04,,,,
1993-01-11,,,,
1993-01-18,,,,
1993-01-25,,,,
1993-02-01,,,,
1993-02-08,,,,
1993-02-15,,,,
1993-02-22,,,,
1993-03-01,,,,
1993-03-08,,,,
1993-03-15,,,,
1993-03-22,,,,
1993-03-29,,,,
1993-04-05,,,,
1993-04-12,,,,
1993-04-19,,,,
1993-04-26,,,,
1993-05-03,,,,
1993-05-10,,,,
1993-05-17,,,,
1993-05-24,,,,
1993-05-31,,,,
1993-06-07,,,,
1993-06-14,,,,
1993-06-21,,,,
1993-06-28,,,,
1993-07-05,,,,
1993-07-12,,,,
1993-07-19,,,,
1993-07-26,,,,
1993-08-02,,,,
1993-08-09,,,,
1993-08-16,,,,
1993-08-23,,,,
1993-08-30,,,,
1993-09-06,,,,
1993-09-13,,,,
1993-09-20,,,,
1993-09-27,,,,
1993-10-04,,,,
1993-10-11,,,,
1993-10-18,,,,
1993-10-25,,,,
1993-11-01,,,,
1993-11-08,,,,
1993-11-15,,,,
1993-11-22,,,,
1993-11-29,,,,
1993-12-06,,,,
1993-12-13,,,,
1993-12-20,,,,
1993-12-27,,,,
1994-01-03,,,,
1994-01-10,,,,
1994-01-17,,,,
1994-01-24,,,,
1994-01-31,,,,
1994-02-07,,,,
1994-02-14,,,,
1994-02-21,,,,
1994-02-28,,,,
1994-03-07,,,,
1994-03-14,,,,
1994-03-21,,,,
1994-03-28,,,,
1994-04-04,,,,
1994-04-11,,,,
1994-04-18,,,,
1994-04-25,,,,
1994-05-02,,,,
1994-05-09,,,,
1994-05-16,,,,
1994-05-23,,,,
1994-05-30,,,,
1994-06-06,,,,
1994-06-13,,,,
1994-06-20,,,,
1994-06-27,,,,
1994-07-04,,,,
1994-07-11,,,,
1994-07-18,,,,
1994-07-25,,,,
1994-08-01,,,,
1994-08-08,,,,
1994-08-15,,,,
1994-08-22,,,,
1994-08-29,,,,
1994-09-05,,,,
1994-09-12,,,,
1994-09-19,,,,
1994-09-26,,,,
1994-10-03,,,,
1994-10-10,,,,
1994-10-17,,,,
1994-10-24,,,,
1994-10-31,,,,
1994-11-07,,,,
1994-11-14,,,,
1994-11-21,,,,
1994-11-28,,,,
1994-12-05,,,,
1994-12-12,,,,
1994-12-19,,,,
1994-12-26,,,,
1995-01-02,,,,
1995-01-09,,,,
1995-01-16,,,,
1995-01-23,,,,
1995-01-30,,,,
1995-02-06,,,,
1995-02-13,,,,
1995-02-20,,,,
1995-02-27,,,,
1995-03-06,,,,
1995-03-13,,,,
1995-03-20,,,,
1995-03-27,,,,
1995-04-03,,,,
1995-04-10,,,,
1995-04-17,,,,
1995-04-24,,,,
1995-05-01,,,,
1995-05-08,,,,
1995-05-15,,,,
1995-05-22,,,,
1995-05-29,,,,
1995-06-05,,,,
1995-06-12,,,,
1995-06-19,,,,
1995-06-26,,,,
1995-07-03,,,,
1995-07-10,,,,
1995-07-17,,,,
1995-07-24,,,,
1995-07-31,,,,
1995-08-07,,,,
1995-08-14,,,,
1995-08-21,,,,
1995-08-28,,,,
1995-09-04,,,,
1995-09-11,,,,
1995-09-18,,,,
1995-09-25,,,,
1995-10-02,,,,
1995-10-09,,,,
1995-10-16,,,,
1995-10-23,,,,
1995-10-30,,,,
1995-11-06,,,,
1995-11-13,,,,
1995-11-20,,,,
1995-11-27,,,,
1995-12-04,,,,
1995-12-11,,,,
1995-12-18,,,,
1995-12-25,,,,
1996-01-01,,,,
1996-01-08,,,,
1996-01-15,,,,
1996-01-22,,,,
1996-01-29,,,,
1996-02-05,,,,
1996-02-12,,,,
1996-02-19,,,,
1996-02-26,,,,
1996-03-04,,,,
1996-03-11,,,,
1996-03-18,,,,
1996-03-25,,,,
1996-04-01,,,,
1996-04-08,,,,
1996-04-15,,,,
1996-04-22,,,,
1996-04-29,,,,
1996-05-06,,,,
1996-05-13,,,,
1996-05-20,,,,
1996-05-27,,,,
1996-06-03,,,,
1996-06-10,,,,
1996-06-17,,,,
1996-06-24,,,,
1996-07-01,,,,
1996-07-08,,,,
1996-07-15,,,,
1996-07-22,,,,
1996-07-29,,,,
1996-08-05,,,,
1996-08-12,,,,
1996-08-19,,,,
1996-08-26,,,,
1996-09-02,,,,
1996-09-09,,,,
1996-09-16,,,,
1996-09-23,,,,
1996-09-30,,,,
1996-10-07,,,,
1996-10-14,,,,
1996-10-21,,,,
1996-10-28,,,,
1996-11-04,,,,
1996-11-11,,,,
1996-11-18,,,,
1996-11-25,,,,
1996-12-02,,,,
1996-12-09,,,,
1996-12-16,,,,
1996-12-23,833.58,5.42,,33100.6
1996-12-30,1005.18,6.54,,29212.0
1997-01-06,838.86,5.45,,13723.8
1997-01-13,1034.22,6.73,,28106.4
1997-01-20,1184.04,7.7,,29238.4
1997-01-27,1129.92,7.35,,25289.0
1997-02-03,1120.68,7.29,,6207.1
1997-02-10,1120.68,7.29,,
1997-02-17,1104.18,7.18,,3630.4
1997-02-24,1084.38,7.05,,8936.5
1997-03-03,1162.26,7.56,38.3,11767.9
1997-03-10,1176.78,7.65,38.8,9853.2
1997-03-17,1353.66,8.8,44.6,23365.6
1997-03-24,1641.02,10.67,54.0,23027.8
1997-03-31,1581.19,10.28,52.0,16959.9
1997-04-07,1560.44,10.15,51.3,9205.7
1997-04-14,1536.02,9.99,50.5,5907.5
1997-04-21,1555.55,10.12,51.2,3915.0
1997-04-28,1573.87,10.23,51.8,12174.1
1997-05-05,1633.7,10.62,53.7,6221.2
1997-05-12,1825.39,11.87,60.0,20489.4
1997-05-19,1516.48,9.86,49.9,6393.1
1997-05-26,1334.55,8.68,43.9,2920.7
1997-06-02,1443.22,9.38,47.5,2450.2
1997-06-09,1330.89,8.65,43.8,3144.1
1997-06-16,1313.8,8.54,43.2,1728.8
1997-06-23,1299.14,8.45,42.7,1569.5
1997-06-30,1424.91,9.27,46.9,4579.0
1997-07-07,1202.68,7.82,39.6,1365.8
1997-07-14,1318.68,8.57,43.4,1610.6
1997-07-21,1339.44,8.71,44.1,2281.3
1997-07-28,1264.96,8.23,41.6,2279.0
1997-08-04,1328.45,8.64,40.3,892.9
1997-08-11,1231.99,8.01,37.4,1206.5
1997-08-18,1094.02,7.11,33.2,1128.4
1997-08-25,1029.3,6.69,31.2,2044.3
1997-09-01,1062.27,6.91,32.2,2161.3
1997-09-08,1142.86,7.43,34.7,3078.2
1997-09-15,1057.39,6.88,32.1,1370.2
1997-09-22,998.78,6.49,30.3,510.1
1997-09-29,951.16,6.18,28.9,952.1
1997-10-06,947.5,6.16,28.7,122.5
1997-10-13,976.8,6.35,29.6,424.6
1997-10-20,1031.74,6.71,31.3,988.0
1997-10-27,1064.71,6.92,32.3,2073.8
1997-11-03,1089.13,7.08,33.0,4716.0
1997-11-10,1056.16,6.87,32.0,2206.0
1997-11-17,1019.53,6.63,30.9,1020.3
1997-11-24,921.85,5.99,28.0,945.3
1997-12-01,946.27,6.15,28.7,557.7
1997-12-08,967.03,6.29,29.3,721.2
1997-12-15,946.27,6.15,28.7,584.1
1997-12-22,943.83,6.14,28.6,976.9
1997-12-29,991.45,6.45,30.1,1251.5
1998-01-05,979.24,6.37,29.7,696.6
1998-01-12,1012.21,6.58,30.7,2273.8
1998-01-19,973.14,6.33,29.5,1581.9
1998-01-26,998.78,6.49,30.3,884.2
1998-02-02,998.78,6.49,30.3,
1998-02-09,1028.08,6.69,31.2,467.1
1998-02-16,1092.79,7.11,33.1,3185.4
1998-02-23,1032.97,6.72,31.3,1584.6
1998-03-02,998.78,6.49,30.3,1024.8
1998-03-09,1007.32,6.55,30.6,622.3
1998-03-16,962.15,6.26,29.2,524.4
1998-03-23,993.89,6.46,30.1,670.6
1998-03-30,1007.32,6.55,30.6,1004.7
1998-04-06,1054.94,6.86,32.0,2150.9
1998-04-13,1054.94,6.86,32.0,2382.5
1998-04-20,1056.16,6.87,32.0,5797.3
1998-04-27,1063.49,6.92,32.3,1914.7
1998-05-04,1123.32,7.3,34.1,2046.9
1998-05-11,1131.87,7.36,34.3,3752.1
1998-05-18,1080.58,7.03,32.8,2488.8
1998-05-25,1347.98,8.77,40.9,11133.1
1998-06-01,1332.11,8.66,40.4,7339.5
1998-06-08,1245.42,8.1,37.8,3704.3
1998-06-15,1224.91,7.97,37.2,2676.3
1998-06-22,1255.8,8.17,38.1,1781.3
1998-06-29,1227.59,7.98,37.2,1999.0
1998-07-06,1140.29,7.41,34.6,1153.9
1998-07-13,1168.5,7.6,35.4,821.1
1998-07-20,1095.97,7.13,33.2,843.0
1998-07-27,1200.73,7.81,36.4,1038.2
1998-08-03,1161.78,7.55,35.2,761.8
1998-08-10,1089.25,7.08,33.0,920.1
1998-08-17,901.22,5.86,27.3,849.9
1998-08-24,956.29,6.22,29.0,1220.9
1998-08-31,926.74,6.03,28.1,1026.8
1998-09-07,997.92,6.49,30.3,1104.4
1998-09-14,1071.79,6.97,33.3,2023.5
1998-09-21,1036.87,6.74,32.2,1984.1
1998-09-28,1208.79,7.86,37.5,6923.2
1998-10-05,1261.17,8.2,39.1,3880.8
1998-10-12,1185.96,7.71,36.8,4555.5
1998-10-19,1236.99,8.04,38.4,4745.8
1998-10-26,1213.77,7.73,28.1,6834.9
1998-11-02,1259.31,8.02,29.2,2393.4
1998-11-09,1293.85,8.24,30.0,3128.0
1998-11-16,1315.84,8.38,30.5,5313.0
1998-11-23,1249.89,7.96,29.0,1612.0
1998-11-30,1215.34,7.74,28.2,900.9
1998-12-07,1179.23,7.51,27.3,627.9
1998-12-14,1130.55,7.2,26.2,423.9
1998-12-21,1052.04,6.7,24.4,1044.9
1998-12-28,1125.84,7.17,26.1,1544.9
1999-01-04,1052.04,6.7,24.4,919.3
1999-01-11,1158.81,7.38,26.9,1278.8
1999-01-18,1100.72,7.01,25.5,961.7
1999-01-25,1094.44,6.97,25.4,981.6
1999-02-01,1107.0,7.05,25.7,1194.2
1999-02-08,986.09,6.28,22.9,4584.6
1999-02-15,1006.5,6.41,23.3,230.6
1999-02-22,1006.5,6.41,23.3,
1999-03-01,1031.63,6.57,23.9,136.4
1999-03-08,1096.01,6.98,25.4,1440.8
1999-03-15,1124.27,7.16,26.1,2360.5
1999-03-22,1094.44,6.97,25.4,1736.9
1999-03-29,1183.94,7.54,27.4,4775.7
1999-04-05,1232.61,7.85,28.6,4500.8
1999-04-12,1150.96,7.33,26.7,2869.2
1999-04-19,1108.57,7.06,25.7,1383.6
1999-04-26,1053.61,6.71,24.4,1333.8
1999-05-03,1077.16,6.86,25.0,752.6
1999-05-10,998.65,6.36,23.1,713.5
1999-05-17,959.4,6.11,22.2,965.7
1999-05-24,1078.73,6.87,25.0,1839.8
1999-05-31,1031.63,6.57,23.9,3968.6
1999-06-07,1193.36,7.6,27.7,6528.0
1999-06-14,1333.11,8.49,30.9,13949.7
1999-06-21,1417.9,9.03,32.9,10806.1
1999-06-28,1501.12,9.56,34.8,12081.7
1999-07-05,1406.91,8.96,32.6,10007.9
1999-07-12,1292.28,8.23,29.9,2667.3
1999-07-19,1198.07,7.63,27.8,1943.5
1999-07-26,1424.18,9.07,33.0,5420.6
1999-08-02,1345.67,8.57,31.2,2557.4
1999-08-09,1290.71,8.22,29.9,2402.7
1999-08-16,1215.34,7.74,28.2,1329.9
1999-08-23,1318.98,8.4,280.0,1742.7
1999-08-30,1331.54,8.48,282.7,1932.6
1999-09-06,1433.6,9.13,304.3,6194.7
1999-09-13,1622.03,10.33,344.3,35803.1
1999-09-20,1573.35,10.02,334.0,8971.3
1999-09-27,1460.29,9.3,310.0,4809.1
1999-10-04,1351.95,8.61,287.0,1654.8
1999-10-11,1328.4,8.46,282.0,823.7
1999-10-18,1377.07,8.77,292.3,2241.9
1999-10-25,1279.72,8.15,271.7,2101.1
1999-11-01,1303.27,8.3,276.7,2356.6
1999-11-08,1232.61,7.85,261.7,1867.3
1999-11-15,1124.27,7.16,238.7,1548.6
1999-11-22,1193.36,7.6,253.3,1948.9
1999-11-29,1117.99,7.12,237.3,1475.4
1999-12-06,1077.16,6.86,228.7,21360.3
1999-12-13,1003.36,6.39,213.0,10035.8
1999-12-20,1033.2,6.58,219.3,9655.1
1999-12-27,887.17,5.65,188.3,6477.0
2000-01-03,891.88,5.68,189.3,2146.5
2000-01-10,1028.49,6.55,218.3,14247.3
2000-01-17,876.18,5.58,186.0,7169.0
2000-01-24,818.08,5.21,173.7,7444.8
2000-01-31,827.5,5.27,175.7,6170.2
2000-02-07,827.5,5.27,175.7,
2000-02-14,906.01,5.77,192.3,2897.3
2000-02-21,927.99,5.91,197.0,20448.2
2000-02-28,1121.13,7.14,238.0,44248.7
2000-03-06,970.39,6.18,206.0,19343.6
2000-03-13,1099.15,7.0,,15586.1
2000-03-20,1154.1,7.35,,41990.6
2000-03-27,1207.49,7.69,,24422.6
2000-04-03,1147.82,7.31,,15148.7
2000-04-10,1201.21,7.65,,12573.6
2000-04-17,1099.15,7.0,,9338.9
2000-04-24,1122.7,7.15,,7293.9
2000-05-01,1094.44,6.97,,4862.5
2000-05-08,1094.44,6.97,,
2000-05-15,915.43,5.83,,5897.2
2000-05-22,1059.89,6.75,,5878.4
2000-05-29,1147.82,7.31,,12098.2
2000-06-05,1102.29,7.02,,8154.8
2000-06-12,1157.24,7.37,,7691.9
2000-06-19,1117.99,7.12,,17679.5
2000-06-26,1165.1,7.42,,12938.6
2000-07-03,1125.84,7.17,,6300.7
2000-07-10,1081.87,6.89,,5679.7
2000-07-17,1172.95,7.47,,13270.4
2000-07-24,1458.72,9.29,,30600.1
2000-07-31,1738.22,11.07,,35609.3
2000-08-07,2135.49,13.6,,16416.6
2000-08-14,2091.52,13.32,,25065.6
2000-08-21,2088.38,13.3,,9210.6
2000-08-28,2165.32,13.79,,7230.0
2000-09-04,2099.37,13.37,,9873.5
2000-09-11,2027.14,12.91,,20064.7
2000-09-18,2220.28,14.14,,10527.9
2000-09-25,2116.64,13.48,,5125.7
2000-10-02,2196.72,13.99,,6718.0
2000-10-09,2306.64,14.69,,3454.1
2000-10-16,2069.54,13.18,,22477.2
2000-10-23,1942.35,12.37,,15151.7
2000-10-30,1936.07,12.33,,5226.7
2000-11-06,1874.83,11.94,,12079.5
2000-11-13,1790.04,11.4,,4661.5
2000-11-20,1843.43,11.74,,3960.6
2000-11-27,1829.29,11.65,,4782.7
2000-12-04,1914.09,12.19,,4014.7
2000-12-11,1926.65,12.27,,5747.6
2000-12-18,1851.28,11.79,,4494.9
2000-12-25,1827.72,11.64,,5020.2
2001-01-01,1830.86,11.66,,3341.5
2001-01-08,1753.92,11.17,,3015.2
2001-01-15,1785.33,11.37,,2200.0
2001-01-22,1802.6,11.48,,2937.1
2001-01-29,1802.6,11.48,,
2001-02-05,1846.57,11.76,,476.8
2001-02-12,2083.67,13.27,,8330.5
2001-02-19,2135.49,13.6,,12925.4
2001-02-26,2188.87,13.94,,6619.3
2001-03-05,2217.14,14.12,,3159.6
2001-03-12,2507.63,15.97,,10076.3
2001-03-19,2653.65,16.9,,6400.9
2001-03-26,2604.98,16.59,,4859.3
2001-04-02,2669.36,17.0,,4202.5
2001-04-09,2702.33,17.21,,2239.3
2001-04-16,2769.85,17.64,,4049.1
2001-04-23,2838.93,18.08,,7053.1
2001-04-30,2848.36,18.14,,7662.4
2001-05-07,2848.36,18.14,,
2001-05-14,2986.54,19.02,,4790.8
2001-05-21,3057.2,19.47,,4432.9
2001-05-28,3143.56,20.02,,3435.5
2001-06-04,3082.32,19.63,,3037.0
2001-06-11,2959.84,18.85,,2591.1
2001-06-18,2951.99,18.8,,2167.5
2001-06-25,2983.4,19.0,,1259.7
2001-07-02,2967.7,18.9,,1702.0
2001-07-09,2900.18,18.47,,1081.1
2001-07-16,3141.99,20.01,,2237.2
2001-07-23,3060.34,19.49,,1063.9
2001-07-30,2462.09,15.68,,5639.4
2001-08-06,2151.19,13.7,,9486.8
2001-08-13,2316.06,14.75,,11046.5
2001-08-20,2188.87,13.94,,13116.4
2001-08-27,2104.08,13.4,,9487.6
2001-09-03,2024.0,12.89,,9461.5
2001-09-10,1882.68,11.99,,5718.4
2001-09-17,1711.53,10.9,,11203.4
2001-09-24,1829.29,11.65,,15978.3
2001-10-01,1888.96,12.03,,4629.6
2001-10-08,1815.16,11.56,,2034.9
2001-10-15,1884.25,12.0,,9025.3
2001-10-22,1623.6,10.34,,10301.9
2001-10-29,1739.79,11.08,,14757.9
2001-11-05,1397.49,8.9,,27627.0
2001-11-12,1416.33,9.02,,17559.7
2001-11-19,1430.46,9.11,,10254.5
2001-11-26,1589.05,10.12,,26179.8
2001-12-03,1662.85,10.59,,15505.4
2001-12-10,1581.2,10.07,,30786.0
2001-12-17,1355.09,8.63,,30224.3
2001-12-24,1287.57,8.2,,124.6
2001-12-31,997.08,6.35,,279.4
2002-01-07,899.73,5.73,,2689.9
2002-01-14,695.6,4.43,,337.3
2002-01-21,538.58,3.43,,278.8
2002-01-28,463.21,2.95,,57460.0
2002-02-04,511.89,3.26,,43825.6
2002-02-11,621.8,3.96,,31075.2
2002-02-18,621.8,3.96,,
2002-02-25,653.21,4.16,,3603.6
2002-03-04,683.04,4.35,,38340.9
2002-03-11,722.3,4.6,,64399.6
2002-03-18,711.3,4.53,,52487.3
2002-03-25,631.22,4.02,,44746.7
2002-04-01,613.95,3.91,,26663.3
2002-04-08,642.22,4.09,,23446.9
2002-04-15,665.77,4.24,,40110.6
2002-04-22,665.77,4.24,,
2002-04-29,665.77,4.24,,
2002-05-06,665.77,4.24,,
2002-05-13,665.77,4.24,,
2002-05-20,665.77,4.24,,
2002-05-27,665.77,4.24,,
2002-06-03,665.77,4.24,,
2002-06-10,665.77,4.24,,
2002-06-17,665.77,4.24,,
2002-06-24,665.77,4.24,,
2002-07-01,665.77,4.24,,
2002-07-08,665.77,4.24,,
2002-07-15,665.77,4.24,,
2002-07-22,665.77,4.24,,
2002-07-29,665.77,4.24,,
2002-08-05,665.77,4.24,,
2002-08-12,665.77,4.24,,
2002-08-19,665.77,4.24,,
2002-08-26,665.77,4.24,,
2002-09-02,665.77,4.24,,
2002-09-09,665.77,4.24,,
2002-09-16,665.77,4.24,,
2002-09-23,665.77,4.24,,
2002-09-30,665.77,4.24,,
2002-10-07,665.77,4.24,,
2002-10-14,665.77,4.24,,
2002-10-21,665.77,4.24,,
2002-10-28,665.77,4.24,,
2002-11-04,665.77,4.24,,
2002-11-11,665.77,4.24,,
2002-11-18,665.77,4.24,,
2002-11-25,665.77,4.24,,
2002-12-02,665.77,4.24,,
2002-12-09,665.77,4.24,,
2002-12-16,665.77,4.24,,
2002-12-23,665.77,4.24,,
2002-12-30,665.77,4.24,,
2003-01-06,665.77,4.24,,
2003-01-13,665.77,4.24,,
2003-01-20,665.77,4.24,,
2003-01-27,665.77,4.24,,
2003-02-03,665.77,4.24,,
2003-02-10,665.77,4.24,,
2003-02-17,665.77,4.24,,
2003-02-24,665.77,4.24,,
2003-03-03,665.77,4.24,,
2003-03-10,665.77,4.24,,
2003-03-17,665.77,4.24,,
2003-03-24,665.77,4.24,,
2003-03-31,665.77,4.24,,
2003-04-07,665.77,4.24,,
2003-04-14,665.77,4.24,,
2003-04-21,665.77,4.24,,
2003-04-28,665.77,4.24,,
2003-05-05,665.77,4.24,,
2003-05-12,665.77,4.24,,
2003-05-19,665.77,4.24,,
2003-05-26,665.77,4.24,,
2003-06-02,665.77,4.24,,
2003-06-09,665.77,4.24,,
2003-06-16,665.77,4.24,,
2003-06-23,665.77,4.24,,
2003-06-30,665.77,4.24,,
2003-07-07,665.77,4.24,,
2003-07-14,665.77,4.24,,
2003-07-21,665.77,4.24,,
2003-07-28,665.77,4.24,,
2003-08-04,665.77,4.24,,
2003-08-11,665.77,4.24,,
2003-08-18,665.77,4.24,,
2003-08-25,665.77,4.24,,
2003-09-01,665.77,4.24,,
2003-09-08,665.77,4.24,,
2003-09-15,665.77,4.24,,
2003-09-22,665.77,4.24,,
2003-09-29,665.77,4.24,,
2003-10-06,665.77,4.24,,
2003-10-13,665.77,4.24,,
2003-10-20,665.77,4.24,,
2003-10-27,665.77,4.24,,
2003-11-03,665.77,4.24,,
2003-11-10,665.77,4.24,,
2003-11-17,665.77,4.24,,
2003-11-24,665.77,4.24,,
2003-12-01,665.77,4.24,,
2003-12-08,665.77,4.24,,
2003-12-15,665.77,4.24,,
2003-12-22,665.77,4.24,,
2003-12-29,665.77,4.24,,
2004-01-05,665.77,4.24,,
2004-01-12,665.77,4.24,,
2004-01-19,665.77,4.24,,
2004-01-26,665.77,4.24,,
2004-02-02,665.77,4.24,,
2004-02-09,665.77,4.24,,
2004-02-16,665.77,4.24,,
2004-02-23,665.77,4.24,,
2004-03-01,665.77,4.24,,
2004-03-08,665.77,4.24,,
2004-03-15,665.77,4.24,,
2004-03-22,665.77,4.24,,
2004-03-29,665.77,4.24,,
2004-04-05,665.77,4.24,,
2004-04-12,665.77,4.24,,
2004-04-19,665.77,4.24,,
2004-04-26,665.77,4.24,,
2004-05-03,665.77,4.24,,
2004-05-10,665.77,4.24,,
2004-05-17,665.77,4.24,,
2004-05-24,665.77,4.24,,
2004-05-31,665.77,4.24,,
2004-06-07,665.77,4.24,,
2004-06-14,665.77,4.24,,
2004-06-21,665.77,4.24,,
2004-06-28,665.77,4.24,,
2004-07-05,665.77,4.24,,
2004-07-12,665.77,4.24,,
2004-07-19,665.77,4.24,,
2004-07-26,665.77,4.24,,
2004-08-02,665.77,4.24,,
2004-08-09,665.77,4.24,,
2004-08-16,665.77,4.24,,
2004-08-23,665.77,4.24,,
2004-08-30,665.77,4.24,,
2004-09-06,665.77,4.24,,
2004-09-13,665.77,4.24,,
2004-09-20,665.77,4.24,,
2004-09-27,665.77,4.24,,
2004-10-04,665.77,4.24,,
2004-10-11,665.77,4.24,,
2004-10-18,665.77,4.24,,
2004-10-25,665.77,4.24,,
2004-11-01,665.77,4.24,,
2004-11-08,665.77,4.24,,
2004-11-15,665.77,4.24,,
2004-11-22,665.77,4.24,,
2004-11-29,665.77,4.24,,
2004-12-06,665.77,4.24,,
2004-12-13,665.77,4.24,,
2004-12-20,665.77,4.24,,
2004-12-27,665.77,4.24,,
2005-01-03,665.77,4.24,,
2005-01-10,665.77,4.24,,
2005-01-17,665.77,4.24,,
2005-01-24,665.77,4.24,,
2005-01-31,665.77,4.24,,
2005-02-07,665.77,4.24,,
2005-02-14,665.77,4.24,,
2005-02-21,665.77,4.24,,
2005-02-28,665.77,4.24,,
2005-03-07,665.77,4.24,,
2005-03-14,665.77,4.24,,
2005-03-21,665.77,4.24,,
2005-03-28,665.77,4.24,,
2005-04-04,665.77,4.24,,
2005-04-11,665.77,4.24,,
2005-04-18,665.77,4.24,,
2005-04-25,665.77,4.24,,
2005-05-02,665.77,4.24,,
2005-05-09,665.77,4.24,,
2005-05-16,665.77,4.24,,
2005-05-23,665.77,4.24,,
2005-05-30,665.77,4.24,,
2005-06-06,665.77,4.24,,
2005-06-13,665.77,4.24,,
2005-06-20,665.77,4.24,,
2005-06-27,665.77,4.24,,
2005-07-04,665.77,4.24,,
2005-07-11,665.77,4.24,,
2005-07-18,665.77,4.24,,
2005-07-25,665.77,4.24,,
2005-08-01,665.77,4.24,,
2005-08-08,665.77,4.24,,
2005-08-15,665.77,4.24,,
2005-08-22,665.77,4.24,,
2005-08-29,665.77,4.24,,
2005-09-05,665.77,4.24,,
2005-09-12,665.77,4.24,,
2005-09-19,665.77,4.24,,
2005-09-26,665.77,4.24,,
2005-10-03,665.77,4.24,,
2005-10-10,665.77,4.24,,
2005-10-17,665.77,4.24,,
2005-10-24,665.77,4.24,,
2005-10-31,665.77,4.24,,
2005-11-07,665.77,4.24,,
2005-11-14,665.77,4.24,,
2005-11-21,665.77,4.24,,
2005-11-28,665.77,4.24,,
2005-12-05,665.77,4.24,,
2005-12-12,665.77,4.24,,
2005-12-19,665.77,4.24,,
2005-12-26,665.77,4.24,,
2006-01-02,665.77,4.24,,
2006-01-09,665.77,4.24,,
2006-01-16,665.77,4.24,,
2006-01-23,665.77,4.24,,
2006-01-30,665.77,4.24,,
2006-02-06,665.77,4.24,,
2006-02-13,665.77,4.24,,
2006-02-20,665.77,4.24,,
2006-02-27,665.77,4.24,,
2006-03-06,665.77,4.24,,
2006-03-13,665.77,4.24,,
2006-03-20,665.77,4.24,,
2006-03-27,665.77,4.24,,
