,MV,P,PE,VO
1992-12-28,,,,
1993-01-04,,,,
1993-01-11,,,,
1993-01-18,,,,
1993-01-25,,,,
1993-02-01,,,,
1993-02-08,,,,
1993-02-15,,,,
1993-02-22,,,,
1993-03-01,,,,
1993-03-08,,,,
1993-03-15,,,,
1993-03-22,,,,
1993-03-29,,,,
1993-04-05,,,,
1993-04-12,,,,
1993-04-19,,,,
1993-04-26,,,,
1993-05-03,,,,
1993-05-10,,,,
1993-05-17,,,,
1993-05-24,,,,
1993-05-31,,,,
1993-06-07,,,,
1993-06-14,,,,
1993-06-21,,,,
1993-06-28,,,,
1993-07-05,,,,
1993-07-12,,,,
1993-07-19,,,,
1993-07-26,,,,
1993-08-02,,,,
1993-08-09,,,,
1993-08-16,,,,
1993-08-23,,,,
1993-08-30,,,,
1993-09-06,,,,
1993-09-13,,,,
1993-09-20,,,,
1993-09-27,,,,
1993-10-04,,,,
1993-10-11,,,,
1993-10-18,,,,
1993-10-25,,,,
1993-11-01,,,,
1993-11-08,,,,
1993-11-15,,,,
1993-11-22,,,,
1993-11-29,,,,
1993-12-06,,,,
1993-12-13,,,,
1993-12-20,,,,
1993-12-27,,,,
1994-01-03,,,,
1994-01-10,,,,
1994-01-17,,,,
1994-01-24,,,,
1994-01-31,,,,
1994-02-07,,,,
1994-02-14,,,,
1994-02-21,,,,
1994-02-28,,,,
1994-03-07,,,,
1994-03-14,,,,
1994-03-21,,,,
1994-03-28,,,,
1994-04-04,,,,
1994-04-11,,,,
1994-04-18,,,,
1994-04-25,,,,
1994-05-02,,,,
1994-05-09,,,,
1994-05-16,,,,
1994-05-23,,,,
1994-05-30,,,,
1994-06-06,,,,
1994-06-13,,,,
1994-06-20,,,,
1994-06-27,,,,
1994-07-04,,,,
1994-07-11,,,,
1994-07-18,,,,
1994-07-25,,,,
1994-08-01,,,,
1994-08-08,,,,
1994-08-15,,,,
1994-08-22,,,,
1994-08-29,,,,
1994-09-05,,,,
1994-09-12,,,,
1994-09-19,,,,
1994-09-26,,,,
1994-10-03,,,,
1994-10-10,,,,
1994-10-17,,,,
1994-10-24,823.2,6.57,,37950.8
1994-10-31,742.7,5.93,,27444.7
1994-11-07,707.0,5.65,,9443.8
1994-11-14,763.0,6.09,,11351.3
1994-11-21,721.0,5.76,,2033.0
1994-11-28,718.2,5.74,,1112.6
1994-12-05,693.0,5.53,,970.5
1994-12-12,634.9,5.07,,1292.5
1994-12-19,655.2,5.23,,5412.8
1994-12-26,631.4,5.04,,2229.6
1995-01-02,637.0,5.09,,680.1
1995-01-09,618.8,4.94,,816.0
1995-01-16,570.5,4.56,,1029.8
1995-01-23,542.5,4.33,,740.2
1995-01-30,572.6,4.57,,1280.5
1995-02-06,572.6,4.57,,
1995-02-13,567.0,4.53,,41.7
1995-02-20,556.5,4.44,,246.1
1995-02-27,570.5,4.56,,2506.7
1995-03-06,614.6,4.91,,1866.7
1995-03-13,576.1,4.6,,3766.8
1995-03-20,571.2,4.56,,1361.4
1995-03-27,612.5,4.89,,2065.9
1995-04-03,616.0,4.92,12.1,678.1
1995-04-10,646.1,5.16,12.6,1759.0
1995-04-17,612.5,4.89,12.0,1500.5
1995-04-24,580.3,4.63,11.4,1597.5
1995-05-01,579.6,4.63,11.3,6724.3
1995-05-08,564.2,4.51,11.0,1915.3
1995-05-15,563.5,4.5,11.0,1458.3
1995-05-22,878.5,7.02,17.2,19557.6
1995-05-29,735.0,5.87,14.4,11326.8
1995-06-05,710.5,5.67,13.9,1623.8
1995-06-12,731.5,5.84,14.3,2726.0
1995-06-19,668.5,5.34,13.1,2494.7
1995-06-26,675.5,5.39,13.2,901.9
1995-07-03,625.8,5.0,12.2,846.9
1995-07-10,669.2,5.34,13.1,2083.7
1995-07-17,707.0,5.65,13.8,2932.4
1995-07-24,666.4,5.32,13.0,2183.6
1995-07-31,659.4,5.27,12.9,646.8
1995-08-07,755.3,6.03,14.8,7343.3
1995-08-14,734.3,5.86,14.4,4618.8
1995-08-21,735.21,5.87,14.4,4063.4
1995-08-28,697.41,5.57,13.7,1276.7
1995-09-04,688.9,5.5,13.5,691.4
1995-09-11,737.1,5.89,14.4,1917.9
1995-09-18,704.02,5.62,13.8,642.9
1995-09-25,676.62,5.4,13.3,154.2
1995-10-02,670.95,5.36,8.0,511.2
1995-10-09,652.05,5.21,7.8,99.6
1995-10-16,641.65,5.12,7.6,685.1
1995-10-23,660.55,5.28,7.9,739.3
1995-10-30,642.6,5.13,7.6,1041.8
1995-11-06,641.65,5.12,7.6,387.8
1995-11-13,626.53,5.0,7.4,384.6
1995-11-20,626.53,5.0,7.4,244.1
1995-11-27,618.97,4.94,7.4,1866.1
1995-12-04,588.73,4.7,7.0,17883.0
1995-12-11,567.0,4.53,6.7,788.8
1995-12-18,546.21,4.36,6.5,136.0
1995-12-25,529.2,4.23,6.3,184.8
1996-01-01,481.95,3.85,5.7,376.1
1996-01-08,470.61,3.76,5.6,304.9
1996-01-15,475.33,3.8,5.7,217.8
1996-01-22,463.05,3.7,5.5,202.0
1996-01-29,464.94,3.71,5.5,139.2
1996-02-05,461.16,3.68,5.5,115.4
1996-02-12,461.16,3.68,5.5,61.5
1996-02-19,467.77,3.74,5.6,171.2
1996-02-26,467.77,3.74,5.6,
1996-03-04,519.75,4.15,6.2,330.4
1996-03-11,488.56,3.9,5.8,401.7
1996-03-18,485.73,3.88,5.8,114.2
1996-03-25,496.12,3.96,5.9,148.0
1996-04-01,500.85,4.0,6.0,192.6
1996-04-08,502.74,4.02,6.0,219.9
1996-04-15,513.13,4.1,6.1,532.1
1996-04-22,560.38,4.48,6.7,1958.7
1996-04-29,727.65,5.81,8.7,5560.7
1996-05-06,627.48,5.01,7.5,4785.9
1996-05-13,595.35,4.75,7.1,1799.5
1996-05-20,657.72,5.25,21.1,9271.8
1996-05-27,555.66,4.44,17.8,1731.7
1996-06-03,590.62,4.72,18.9,2164.1
1996-06-10,571.72,4.57,18.3,2813.8
1996-06-17,579.28,4.63,18.6,4427.6
1996-06-24,676.62,5.4,21.7,5886.6
1996-07-01,566.05,4.52,18.2,3755.9
1996-07-08,669.06,5.34,21.5,4185.0
1996-07-15,780.57,6.23,25.0,22709.7
1996-07-22,850.5,6.79,27.3,16092.4
1996-07-29,814.59,6.51,26.1,10135.3
1996-08-05,756.54,6.28,25.1,6467.8
1996-08-12,784.64,6.52,26.1,6275.6
1996-08-19,727.44,6.04,24.2,3021.2
1996-08-26,722.43,6.0,24.0,4828.6
1996-09-02,833.8,6.92,27.7,11293.9
1996-09-09,782.63,6.5,26.0,9647.5
1996-09-16,752.53,6.25,25.0,4323.7
1996-09-23,730.45,6.07,24.3,6502.2
1996-09-30,769.58,6.39,25.6,4765.8
1996-10-07,847.85,7.04,23.5,9004.8
1996-10-14,918.08,7.62,25.4,20443.6
1996-10-21,953.2,7.92,26.4,17490.4
1996-10-28,1091.67,9.07,30.2,26688.9
1996-11-04,1014.41,8.42,28.1,15220.4
1996-11-11,1127.79,9.37,31.2,16366.0
1996-11-18,1314.41,10.92,36.4,23132.4
1996-11-25,1495.02,12.42,41.4,20945.7
1996-12-02,1396.69,11.6,38.7,9761.1
1996-12-09,1476.96,12.27,40.9,8359.1
1996-12-16,1278.29,10.62,35.4,7517.9
1996-12-23,962.23,7.99,26.6,6026.0
1996-12-30,1033.47,8.58,28.6,7480.4
1997-01-06,910.06,7.56,25.2,4980.7
1997-01-13,993.34,8.25,27.5,4319.2
1997-01-20,986.31,8.19,27.3,2225.8
1997-01-27,1062.57,8.82,29.4,7648.8
1997-02-03,1059.56,8.8,29.3,3798.2
1997-02-10,1059.56,8.8,29.3,
1997-02-17,1053.54,8.75,29.2,584.1
1997-02-24,1003.37,8.33,27.8,4669.9
1997-03-03,1130.8,9.39,24.5,6617.5
1997-03-10,1266.25,10.52,27.4,17964.5
1997-03-17,1249.2,10.37,27.1,12397.9
1997-03-24,1345.52,11.17,29.2,11893.4
1997-03-31,1384.65,11.5,30.0,10353.1
1997-04-07,1379.63,11.46,29.9,7488.8
1997-04-14,1405.72,11.67,30.5,9870.5
1997-04-21,1440.84,11.97,31.2,8699.4
1997-04-28,1459.9,12.12,31.6,14929.9
1997-05-05,1504.05,12.49,32.6,5878.1
1997-05-12,1523.12,12.65,33.0,10610.9
1997-05-19,1308.39,10.87,28.3,5033.2
1997-05-26,1084.64,9.01,23.5,3138.4
1997-06-02,1384.65,11.5,30.0,5679.5
1997-06-09,1678.64,13.94,36.4,29870.1
1997-06-16,1539.17,12.78,33.3,12311.8
1997-06-23,1684.66,13.99,36.5,17084.0
1997-06-30,1579.3,13.12,34.2,7124.6
1997-07-07,1209.06,10.04,26.2,5283.4
1997-07-14,1290.33,10.72,28.0,4758.5
1997-07-21,1284.31,10.67,27.8,5422.4
1997-07-28,1182.97,9.82,25.6,3518.1
1997-08-04,1242.17,10.32,95.2,1911.3
1997-08-11,1142.84,9.49,87.6,1772.0
1997-08-18,1035.48,8.6,79.4,1912.0
1997-08-25,1081.23,8.98,83.1,1601.9
1997-09-01,1087.25,9.03,83.6,2036.0
1997-09-08,1126.98,9.36,86.7,2240.1
1997-09-15,1024.64,8.51,78.8,1337.3
1997-09-22,951.19,7.9,73.1,971.8
1997-09-29,975.27,8.1,75.0,3246.4
1997-10-06,970.46,8.06,74.6,433.8
1997-10-13,1023.43,8.5,78.7,2021.3
1997-10-20,1131.8,9.4,87.0,4759.9
1997-10-27,1325.65,11.01,101.9,13196.0
1997-11-03,1296.75,10.77,99.7,6937.0
1997-11-10,1261.83,10.48,97.0,5987.8
1997-11-17,1231.73,10.23,94.7,2046.5
1997-11-24,1061.96,8.82,81.7,1729.2
1997-12-01,1067.98,8.87,82.1,1079.2
1997-12-08,1094.47,9.09,84.2,1174.6
1997-12-15,1071.6,8.9,82.4,1105.9
1997-12-22,1030.66,8.56,79.3,1362.3
1997-12-29,1101.7,9.15,84.7,1922.5
1998-01-05,1059.55,8.8,81.5,1065.3
1998-01-12,1099.29,9.13,84.5,2722.5
1998-01-19,1179.96,9.8,90.7,3711.6
1998-01-26,1105.31,9.18,85.0,2284.5
1998-02-02,1105.31,9.18,85.0,
1998-02-09,1129.39,9.38,86.9,366.6
1998-02-16,1216.08,10.1,93.5,3452.5
1998-02-23,1118.55,9.29,86.0,2339.4
1998-03-02,1063.17,8.83,81.8,1258.8
1998-03-09,1043.9,8.67,80.3,818.7
1998-03-16,1051.13,8.73,80.8,867.4
1998-03-23,1128.19,9.37,86.8,2308.4
1998-03-30,1177.55,9.78,90.6,3328.9
1998-04-06,1204.04,10.0,25.0,5085.4
1998-04-13,1223.3,10.16,25.4,5597.8
1998-04-20,1228.12,10.2,25.5,2166.4
1998-04-27,1204.04,10.0,25.0,3584.2
1998-05-04,1311.2,10.89,27.2,2975.6
1998-05-11,1395.48,11.59,29.0,10235.0
1998-05-18,1418.36,11.78,29.5,5087.9
1998-05-25,1425.58,11.84,29.6,3651.1
1998-06-01,1384.65,11.5,28.8,3186.6
1998-06-08,1455.68,12.09,30.2,4811.4
1998-06-15,1279.89,10.63,26.6,3373.8
1998-06-22,1349.73,11.21,28.0,1821.4
1998-06-29,1228.12,10.2,25.5,1481.7
1998-07-06,1294.34,10.75,26.9,4741.8
1998-07-13,1334.08,11.08,27.7,1399.6
1998-07-20,1236.55,10.27,25.7,1143.1
1998-07-27,1311.2,10.89,27.2,1090.4
1998-08-03,1294.34,10.75,26.9,1712.7
1998-08-10,1135.41,9.43,23.6,1382.5
1998-08-17,904.23,7.51,25.0,1380.4
1998-08-24,1017.41,8.45,28.2,1837.4
1998-08-31,1025.84,8.52,28.4,1042.5
1998-09-07,1100.49,9.14,30.5,1234.7
1998-09-14,1183.57,9.83,32.8,2759.4
1998-09-21,1160.69,9.64,32.1,2370.7
1998-09-28,1202.84,9.99,33.3,1400.2
1998-10-05,1187.18,9.86,32.9,666.0
1998-10-12,1253.41,10.41,34.7,1685.2
1998-10-19,1261.83,10.48,34.9,1939.4
1998-10-26,1235.34,10.26,34.2,1947.2
1998-11-02,1367.79,11.36,37.9,4168.4
1998-11-09,1366.59,11.35,37.8,2883.4
1998-11-16,1373.81,11.41,38.0,1941.5
1998-11-23,1417.15,11.77,39.2,6183.3
1998-11-30,1243.77,10.33,34.4,2726.0
1998-12-07,1188.39,9.87,32.9,1345.3
1998-12-14,1120.96,9.31,31.0,662.8
1998-12-21,1143.84,9.5,31.7,628.4
1998-12-28,1098.08,9.12,30.4,512.1
1999-01-04,1034.27,8.59,28.6,760.0
1999-01-11,1105.31,9.18,30.6,980.6
1999-01-18,1016.21,8.44,28.1,853.7
1999-01-25,995.74,8.27,27.6,627.3
1999-02-01,995.74,8.27,27.6,705.3
1999-02-08,982.5,8.16,27.2,1302.8
1999-02-15,996.94,8.28,27.6,97.1
1999-02-22,996.94,8.28,27.6,
1999-03-01,998.15,8.29,27.6,67.7
1999-03-08,1216.08,10.1,33.7,3411.6
1999-03-15,1200.43,9.97,33.2,2758.0
1999-03-22,1139.02,9.46,31.5,2089.3
1999-03-29,1210.06,10.05,33.5,1942.6
1999-04-05,1219.69,10.13,33.8,2010.1
1999-04-12,1199.22,9.96,33.2,2295.9
1999-04-19,1027.05,8.53,28.4,1886.8
1999-04-26,1029.45,8.55,28.5,1869.6
1999-05-03,1027.05,8.53,28.4,785.9
1999-05-10,990.92,8.23,27.4,1533.1
1999-05-17,995.74,8.27,27.6,858.1
1999-05-24,1149.86,9.55,191.0,3942.8
1999-05-31,1117.35,9.28,185.6,4636.9
1999-06-07,1143.84,9.5,190.0,3251.1
1999-06-14,1306.38,10.85,217.0,6835.1
1999-06-21,1324.44,11.0,220.0,9443.3
1999-06-28,1366.59,11.35,227.0,8935.0
1999-07-05,1224.51,10.17,203.4,11362.5
1999-07-12,1222.1,10.15,203.0,3924.2
1999-07-19,1116.14,9.27,185.4,1392.8
1999-07-26,1277.49,10.61,212.2,2695.1
1999-08-02,1226.92,10.19,203.8,1695.9
1999-08-09,1149.86,9.55,191.0,6895.1
1999-08-16,1072.8,8.91,,2156.8
1999-08-23,1214.88,10.09,,3209.5
1999-08-30,1129.39,9.38,,1556.6
1999-09-06,1117.35,9.28,,820.0
1999-09-13,1241.36,10.31,,2860.4
1999-09-20,1208.86,10.04,,3192.1
1999-09-27,1195.61,9.93,,3194.5
1999-10-04,1147.45,9.53,,794.7
1999-10-11,1110.12,9.22,,261.0
1999-10-18,1099.29,9.13,,676.8
1999-10-25,1071.6,8.9,,758.0
1999-11-01,1087.25,9.03,,745.7
1999-11-08,1090.86,9.06,,871.0
1999-11-15,1061.96,8.82,,540.3
1999-11-22,1081.23,8.98,,1618.4
1999-11-29,1033.07,8.58,,483.3
1999-12-06,1064.37,8.84,,474.8
1999-12-13,1015.01,8.43,,540.7
1999-12-20,1011.39,8.4,,572.4
1999-12-27,925.91,7.69,,574.3
2000-01-03,940.35,7.81,,208.4
2000-01-10,1035.47,8.6,,1768.0
2000-01-17,904.23,7.51,,1374.6
2000-01-24,866.91,7.2,,1854.8
2000-01-31,928.31,7.71,,1612.1
2000-02-07,928.31,7.71,,
2000-02-14,1013.8,8.42,,849.0
2000-02-21,1035.47,8.6,,5377.2
2000-02-28,993.33,8.25,,2349.0
2000-03-06,1033.07,8.58,,6222.7
2000-03-13,1060.76,8.81,,2500.7
2000-03-20,1251.0,10.39,,19935.0
2000-03-27,1336.48,11.1,,12603.5
2000-04-03,1238.96,10.29,,7818.3
2000-04-10,1383.44,11.49,,13693.2
2000-04-17,1310.0,10.88,,6566.1
2000-04-24,1253.41,10.41,,5877.8
2000-05-01,1224.51,10.17,,2267.7
2000-05-08,1249.79,10.38,,557.8
2000-05-15,1165.51,9.68,,2267.9
2000-05-22,1223.3,10.16,,1345.6
2000-05-29,1411.13,11.72,,9711.9
2000-06-05,1384.65,11.5,,3565.2
2000-06-12,1552.01,12.89,,12310.0
2000-06-19,1478.56,12.28,,7184.0
2000-06-26,1490.6,12.38,,3179.3
2000-07-03,1399.09,11.62,,4545.4
2000-07-10,1324.44,11.0,,2628.1
2000-07-17,1418.36,11.78,,2561.1
2000-07-24,1552.01,12.89,,4608.3
2000-07-31,1571.27,13.05,,4126.1
2000-08-07,1691.68,14.05,,6983.6
2000-08-14,1638.7,13.61,,4301.1
2000-08-21,1757.9,14.6,,3738.7
2000-08-28,1703.72,14.15,,3727.7
2000-09-04,1609.8,13.37,,2552.1
2000-09-11,1683.25,13.98,,1948.3
2000-09-18,1801.24,14.96,,9001.8
2000-09-25,1851.81,15.38,,3975.6
2000-10-02,1761.51,14.63,,4495.0
2000-10-09,1795.22,14.91,,474.1
2000-10-16,1902.38,15.8,,4640.0
2000-10-23,1832.55,15.22,,2592.5
2000-10-30,1861.45,15.46,,4239.6
2000-11-06,1780.77,14.79,,3516.1
2000-11-13,1780.77,14.79,,2204.1
2000-11-20,1794.02,14.9,,2329.9
2000-11-27,1779.57,14.78,,3623.4
2000-12-04,1690.47,14.04,,2937.4
2000-12-11,1685.66,14.0,,1652.7
2000-12-18,1624.25,13.49,,2215.3
2000-12-25,1536.35,12.76,,2360.0
2001-01-01,1462.91,12.15,,2172.0
2001-01-08,1449.66,12.04,,2309.1
2001-01-15,1486.99,12.35,,1738.5
2001-01-22,1466.52,12.18,,815.6
2001-01-29,1466.52,12.18,,
2001-02-05,1483.38,12.32,,184.1
2001-02-12,1300.36,10.8,,1399.9
2001-02-19,1376.22,11.43,,1395.7
2001-02-26,1252.2,10.4,,1811.7
2001-03-05,1324.44,11.0,,988.5
2001-03-12,1353.34,11.24,,1550.6
2001-03-19,1535.15,12.75,,3492.8
2001-03-26,1594.15,13.24,,8132.1
2001-04-02,1598.96,13.28,,3819.2
2001-04-09,1588.13,13.19,,6075.7
2001-04-16,1474.95,12.25,,4399.5
2001-04-23,1512.27,12.56,,2520.0
2001-04-30,1517.09,12.6,,1575.5
2001-05-07,1517.09,12.6,,
2001-05-14,1615.82,13.42,,3335.6
2001-05-21,1663.98,13.82,,3610.9
2001-05-28,1667.59,13.85,,4987.8
2001-06-04,1737.43,14.43,,3012.3
2001-06-11,1694.08,14.07,,5235.0
2001-06-18,1627.86,13.52,,2694.0
2001-06-25,1708.53,14.19,,1679.7
2001-07-02,1696.49,14.09,,2703.4
2001-07-09,1750.67,14.54,,3488.1
2001-07-16,1825.32,15.16,,5522.1
2001-07-23,1804.86,14.99,,3212.4
2001-07-30,1561.64,12.97,,3072.3
2001-08-06,1523.11,12.65,,2929.2
2001-08-13,1588.13,13.19,,1424.8
2001-08-20,1592.94,13.23,,1451.6
2001-08-27,1485.78,12.34,,2387.7
2001-09-03,1405.11,11.67,,1474.6
2001-09-10,1441.24,11.97,,1238.3
2001-09-17,1193.2,9.91,,4319.1
2001-09-24,1179.96,9.8,,3363.0
2001-10-01,1069.19,8.88,,2117.3
2001-10-08,1076.41,8.94,,285.3
2001-10-15,1064.37,8.84,,2038.4
2001-10-22,918.68,7.63,,2304.1
2001-10-29,1047.51,8.7,,2709.7
2001-11-05,1022.23,8.49,,3022.3
2001-11-12,958.42,7.96,,2222.8
2001-11-19,998.15,8.29,,1664.1
2001-11-26,1072.8,8.91,,3901.7
2001-12-03,1249.79,10.38,,8497.7
2001-12-10,1107.72,9.2,,9616.3
2001-12-17,952.4,7.91,,6743.6
2001-12-24,1002.97,8.33,,3931.8
2001-12-31,898.21,7.46,,3500.8
2002-01-07,909.05,7.55,,533.6
2002-01-14,786.24,6.53,,2888.4
2002-01-21,608.04,5.05,,486.5
2002-01-28,589.98,4.9,,6310.9
2002-02-04,676.67,5.62,,5670.7
2002-02-11,700.75,5.82,,3475.4
2002-02-18,700.75,5.82,,
2002-02-25,735.67,6.11,,761.3
2002-03-04,746.5,6.2,,5141.8
2002-03-11,913.87,7.59,,7225.8
2002-03-18,901.83,7.49,,5795.1
2002-03-25,930.72,7.73,,3664.1
2002-04-01,1041.49,8.65,,8429.5
2002-04-08,1059.55,8.8,,8094.4
2002-04-15,1021.03,8.48,,3096.4
2002-04-22,977.68,8.12,,5548.9
2002-04-29,966.84,8.03,,7563.0
2002-05-06,966.84,8.03,,
2002-05-13,966.84,8.03,,
2002-05-20,966.84,8.03,,
2002-05-27,966.84,8.03,,
2002-06-03,966.84,8.03,,
2002-06-10,966.84,8.03,,
2002-06-17,966.84,8.03,,
2002-06-24,966.84,8.03,,
2002-07-01,966.84,8.03,,
2002-07-08,966.84,8.03,,
2002-07-15,966.84,8.03,,
2002-07-22,966.84,8.03,,
2002-07-29,966.84,8.03,,
2002-08-05,966.84,8.03,,
2002-08-12,966.84,8.03,,
2002-08-19,966.84,8.03,,
2002-08-26,966.84,8.03,,
2002-09-02,966.84,8.03,,
2002-09-09,966.84,8.03,,
2002-09-16,966.84,8.03,,
2002-09-23,966.84,8.03,,
2002-09-30,966.84,8.03,,
2002-10-07,966.84,8.03,,
2002-10-14,966.84,8.03,,
2002-10-21,966.84,8.03,,
2002-10-28,966.84,8.03,,
2002-11-04,966.84,8.03,,
2002-11-11,966.84,8.03,,
2002-11-18,966.84,8.03,,
2002-11-25,966.84,8.03,,
2002-12-02,966.84,8.03,,
2002-12-09,966.84,8.03,,
2002-12-16,966.84,8.03,,
2002-12-23,966.84,8.03,,
2002-12-30,966.84,8.03,,
2003-01-06,966.84,8.03,,
2003-01-13,966.84,8.03,,
2003-01-20,966.84,8.03,,
2003-01-27,966.84,8.03,,
2003-02-03,966.84,8.03,,
2003-02-10,966.84,8.03,,
2003-02-17,966.84,8.03,,
2003-02-24,966.84,8.03,,
2003-03-03,966.84,8.03,,
2003-03-10,966.84,8.03,,
2003-03-17,966.84,8.03,,
2003-03-24,966.84,8.03,,
2003-03-31,966.84,8.03,,
2003-04-07,966.84,8.03,,
2003-04-14,966.84,8.03,,
2003-04-21,966.84,8.03,,
2003-04-28,966.84,8.03,,
2003-05-05,966.84,8.03,,
2003-05-12,966.84,8.03,,
2003-05-19,966.84,8.03,,
2003-05-26,966.84,8.03,,
2003-06-02,966.84,8.03,,
2003-06-09,966.84,8.03,,
2003-06-16,966.84,8.03,,
2003-06-23,966.84,8.03,,
2003-06-30,966.84,8.03,,
2003-07-07,966.84,8.03,,
2003-07-14,966.84,8.03,,
2003-07-21,966.84,8.03,,
2003-07-28,966.84,8.03,,
2003-08-04,966.84,8.03,,
2003-08-11,966.84,8.03,,
2003-08-18,966.84,8.03,,
2003-08-25,966.84,8.03,,
2003-09-01,966.84,8.03,,
2003-09-08,966.84,8.03,,
2003-09-15,966.84,8.03,,
2003-09-22,966.84,8.03,,
2003-09-29,966.84,8.03,,
2003-10-06,966.84,8.03,,
2003-10-13,966.84,8.03,,
2003-10-20,966.84,8.03,,
2003-10-27,966.84,8.03,,
2003-11-03,966.84,8.03,,
2003-11-10,966.84,8.03,,
2003-11-17,966.84,8.03,,
2003-11-24,966.84,8.03,,
2003-12-01,966.84,8.03,,
2003-12-08,966.84,8.03,,
2003-12-15,966.84,8.03,,
2003-12-22,966.84,8.03,,
2003-12-29,966.84,8.03,,
2004-01-05,966.84,8.03,,
2004-01-12,966.84,8.03,,
2004-01-19,966.84,8.03,,
2004-01-26,966.84,8.03,,
2004-02-02,966.84,8.03,,
2004-02-09,966.84,8.03,,
2004-02-16,966.84,8.03,,
2004-02-23,966.84,8.03,,
2004-03-01,966.84,8.03,,
2004-03-08,966.84,8.03,,
2004-03-15,966.84,8.03,,
2004-03-22,966.84,8.03,,
2004-03-29,966.84,8.03,,
2004-04-05,966.84,8.03,,
2004-04-12,966.84,8.03,,
2004-04-19,966.84,8.03,,
2004-04-26,966.84,8.03,,
2004-05-03,966.84,8.03,,
2004-05-10,966.84,8.03,,
2004-05-17,966.84,8.03,,
2004-05-24,966.84,8.03,,
2004-05-31,966.84,8.03,,
2004-06-07,966.84,8.03,,
2004-06-14,966.84,8.03,,
2004-06-21,966.84,8.03,,
2004-06-28,966.84,8.03,,
2004-07-05,966.84,8.03,,
2004-07-12,966.84,8.03,,
2004-07-19,966.84,8.03,,
2004-07-26,966.84,8.03,,
2004-08-02,966.84,8.03,,
2004-08-09,966.84,8.03,,
2004-08-16,966.84,8.03,,
2004-08-23,966.84,8.03,,
2004-08-30,966.84,8.03,,
2004-09-06,966.84,8.03,,
2004-09-13,966.84,8.03,,
2004-09-20,966.84,8.03,,
2004-09-27,966.84,8.03,,
