,MV,P,PE,PTBV,VA,VO
1992-07-06,,,,,,
1992-07-13,,,,,,
1992-07-20,,,,,,
1992-07-27,,,,,,
1992-08-03,,,,,,
1992-08-10,,,,,,
1992-08-17,,,,,,
1992-08-24,,,,,,
1992-08-31,,,,,,
1992-09-07,,,,,,
1992-09-14,,,,,,
1992-09-21,,,,,,
1992-09-28,,,,,,
1992-10-05,,,,,,
1992-10-12,,,,,,
1992-10-19,,,,,,
1992-10-26,,,,,,
1992-11-02,,,,,,
1992-11-09,,,,,,
1992-11-16,,,,,,
1992-11-23,,,,,,
1992-11-30,,,,,,
1992-12-07,,,,,,
1992-12-14,,,,,,
1992-12-21,,,,,,
1992-12-28,,,,,,
1993-01-04,,,,,,
1993-01-11,,,,,,
1993-01-18,,,,,,
1993-01-25,,,,,,
1993-02-01,,,,,,
1993-02-08,,,,,,
1993-02-15,,,,,,
1993-02-22,,,,,,
1993-03-01,,,,,,
1993-03-08,,,,,,
1993-03-15,,,,,,
1993-03-22,,,,,,
1993-03-29,,,,,,
1993-04-05,,,,,,
1993-04-12,,,,,,
1993-04-19,,,,,,
1993-04-26,,,,,,
1993-05-03,,,,,,
1993-05-10,,,,,,
1993-05-17,,,,,,
1993-05-24,,,,,,
1993-05-31,,,,,,
1993-06-07,,,,,,
1993-06-14,,,,,,
1993-06-21,,,,,,
1993-06-28,,,,,,
1993-07-05,,,,,,
1993-07-12,,,,,,
1993-07-19,,,,,,
1993-07-26,,,,,,
1993-08-02,,,,,,
1993-08-09,,,,,,
1993-08-16,,,,,,
1993-08-23,,,,,,
1993-08-30,,,,,,
1993-09-06,,,,,,
1993-09-13,,,,,,
1993-09-20,,,,,,
1993-09-27,,,,,,
1993-10-04,,,,,,
1993-10-11,,,,,,
1993-10-18,,,,,,
1993-10-25,,,,,,
1993-11-01,,,,,,
1993-11-08,,,,,,
1993-11-15,,,,,,
1993-11-22,,,,,,
1993-11-29,,,,,,
1993-12-06,,,,,,
1993-12-13,,,,,,
1993-12-20,,,,,,
1993-12-27,,,,,,
1994-01-03,,,,,,
1994-01-10,,,,,,
1994-01-17,,,,,,
1994-01-24,,,,,,
1994-01-31,,,,,,
1994-02-07,,,,,,
1994-02-14,,,,,,
1994-02-21,,,,,,
1994-02-28,,,,,,
1994-03-07,,,,,,
1994-03-14,,,,,,
1994-03-21,,,,,,
1994-03-28,,,,,,
1994-04-04,,,,,,
1994-04-11,,,,,,
1994-04-18,,,,,,
1994-04-25,,,,,,
1994-05-02,,,,,,
1994-05-09,,,,,,
1994-05-16,,,,,,
1994-05-23,,,,,,
1994-05-30,,,,,,
1994-06-06,,,,,,
1994-06-13,,,,,,
1994-06-20,,,,,,
1994-06-27,,,,,,
1994-07-04,,,,,,
1994-07-11,,,,,,
1994-07-18,,,,,,
1994-07-25,,,,,,
1994-08-01,,,,,,
1994-08-08,,,,,,
1994-08-15,,,,,,
1994-08-22,,,,,,
1994-08-29,,,,,,
1994-09-05,,,,,,
1994-09-12,,,,,,
1994-09-19,,,,,,
1994-09-26,,,,,,
1994-10-03,,,,,,
1994-10-10,,,,,,
1994-10-17,,,,,,
1994-10-24,,,,,,
1994-10-31,,,,,,
1994-11-07,,,,,,
1994-11-14,,,,,,
1994-11-21,,,,,,
1994-11-28,,,,,,
1994-12-05,,,,,,
1994-12-12,,,,,,
1994-12-19,,,,,,
1994-12-26,,,,,,
1995-01-02,,,,,,
1995-01-09,,,,,,
1995-01-16,,,,,,
1995-01-23,,,,,,
1995-01-30,,,,,,
1995-02-06,,,,,,
1995-02-13,,,,,,
1995-02-20,,,,,,
1995-02-27,,,,,,
1995-03-06,,,,,,
1995-03-13,,,,,,
1995-03-20,,,,,,
1995-03-27,,,,,,
1995-04-03,,,,,,
1995-04-10,,,,,,
1995-04-17,,,,,,
1995-04-24,,,,,,
1995-05-01,,,,,,
1995-05-08,,,,,,
1995-05-15,,,,,,
1995-05-22,,,,,,
1995-05-29,,,,,,
1995-06-05,,,,,,
1995-06-12,,,,,,
1995-06-19,,,,,,
1995-06-26,,,,,,
1995-07-03,,,,,,
1995-07-10,,,,,,
1995-07-17,,,,,,
1995-07-24,,,,,,
1995-07-31,,,,,,
1995-08-07,,,,,,
1995-08-14,,,,,,
1995-08-21,,,,,,
1995-08-28,,,,,,
1995-09-04,,,,,,
1995-09-11,,,,,,
1995-09-18,,,,,,
1995-09-25,,,,,,
1995-10-02,,,,,,
1995-10-09,,,,,,
1995-10-16,,,,,,
1995-10-23,,,,,,
1995-10-30,,,,,,
1995-11-06,,,,,,
1995-11-13,,,,,,
1995-11-20,,,,,,
1995-11-27,,,,,,
1995-12-04,,,,,,
1995-12-11,,,,,,
1995-12-18,,,,,,
1995-12-25,,,,,,
1996-01-01,,,,,,
1996-01-08,,,,,,
1996-01-15,,,,,,
1996-01-22,,,,,,
1996-01-29,,,,,,
1996-02-05,,,,,,
1996-02-12,,,,,,
1996-02-19,,,,,,
1996-02-26,,,,,,
1996-03-04,,,,,,
1996-03-11,,,,,,
1996-03-18,,,,,,
1996-03-25,,,,,,
1996-04-01,,,,,,
1996-04-08,,,,,,
1996-04-15,,,,,,
1996-04-22,,,,,,
1996-04-29,,,,,,
1996-05-06,,,,,,
1996-05-13,,,,,,
1996-05-20,,,,,,
1996-05-27,,,,,,
1996-06-03,,,,,,
1996-06-10,,,,,,
1996-06-17,,,,,,
1996-06-24,,,,,,
1996-07-01,,,,,,
1996-07-08,,,,,,
1996-07-15,,,,,,
1996-07-22,,,,,,
1996-07-29,,,,,,
1996-08-05,,,,,,
1996-08-12,,,,,,
1996-08-19,,,,,,
1996-08-26,,,,,,
1996-09-02,,,,,,
1996-09-09,,,,,,
1996-09-16,,,,,,
1996-09-23,,,,,,
1996-09-30,,,,,,
1996-10-07,,,,,,
1996-10-14,,,,,,
1996-10-21,,,,,,
1996-10-28,,,,,,
1996-11-04,,,,,,
1996-11-11,,,,,,
1996-11-18,,,,,,
1996-11-25,,,,,,
1996-12-02,,,,,,
1996-12-09,,,,,,
1996-12-16,,,,,,
1996-12-23,,,,,,
1996-12-30,,,,,,
1997-01-06,,,,,,
1997-01-13,,,,,,
1997-01-20,,,,,,
1997-01-27,,,,,,
1997-02-03,,,,,,
1997-02-10,,,,,,
1997-02-17,,,,,,
1997-02-24,,,,,,
1997-03-03,,,,,,
1997-03-10,,,,,,
1997-03-17,,,,,,
1997-03-24,,,,,,
1997-03-31,,,,,,
1997-04-07,,,,,,
1997-04-14,,,,,,
1997-04-21,,,,,,
1997-04-28,,,,,,
1997-05-05,,,,,,
1997-05-12,,,,,,
1997-05-19,,,,,,
1997-05-26,,,,,,
1997-06-02,,,,,,
1997-06-09,,,,,,
1997-06-16,718.4,2.08,,,,95.1
1997-06-23,708.0,2.05,,,,19704.0
1997-06-30,652.0,1.88,,,,24276.6
1997-07-07,560.0,1.62,,,,15471.7
1997-07-14,620.8,1.79,,,,19731.4
1997-07-21,640.0,1.85,,,,27112.3
1997-07-28,644.0,1.86,,,,28083.3
1997-08-04,676.0,1.95,,,,23504.8
1997-08-11,640.0,1.85,,,,16707.0
1997-08-18,574.4,1.66,,,,9332.3
1997-08-25,638.4,1.84,,,,11917.6
1997-09-01,652.0,1.88,,,,13844.6
1997-09-08,656.0,1.9,,,,16342.9
1997-09-15,598.4,1.73,,,,12491.4
1997-09-22,576.0,1.66,,,,6807.0
1997-09-29,562.4,1.63,28.1,,,10086.2
1997-10-06,592.0,1.71,29.6,,,2919.5
1997-10-13,592.0,1.71,29.6,,,5550.7
1997-10-20,632.0,1.83,31.6,,,10717.6
1997-10-27,662.4,1.91,33.1,,,29010.9
1997-11-03,704.0,2.03,35.2,,,36869.9
1997-11-10,668.8,1.93,33.4,,,26215.2
1997-11-17,668.0,1.93,33.4,,,33294.0
1997-11-24,656.0,1.9,32.8,,,9506.0
1997-12-01,645.6,1.87,32.3,,,7934.7
1997-12-08,652.0,1.88,32.6,,,5803.0
1997-12-15,648.0,1.87,32.4,,,6013.0
1997-12-22,688.8,1.99,34.4,,,13664.9
1997-12-29,719.2,2.08,36.0,,,25427.8
1998-01-05,739.2,2.14,37.0,,,12027.8
1998-01-12,712.8,2.06,35.6,,,24220.9
1998-01-19,686.4,1.98,34.3,,,16510.5
1998-01-26,706.4,2.04,35.3,,,6889.1
1998-02-02,706.4,2.04,35.3,,,
1998-02-09,736.0,2.13,36.8,,,4661.8
1998-02-16,768.0,2.22,38.4,,,22642.6
1998-02-23,728.0,2.1,36.4,,,12881.1
1998-03-02,692.8,2.0,34.6,,,7215.7
1998-03-09,720.8,2.08,36.0,,,13893.9
1998-03-16,712.0,2.06,35.6,,,6836.0
1998-03-23,720.0,2.08,33.3,,,8175.8
1998-03-30,735.2,2.12,34.0,,,13110.9
1998-04-06,760.8,2.2,35.2,,,24312.1
1998-04-13,823.2,2.38,38.1,,,40763.4
1998-04-20,812.0,2.35,37.6,,,26092.1
1998-04-27,816.8,2.36,37.8,,,16878.4
1998-05-04,904.8,2.61,41.9,,,30207.7
1998-05-11,877.6,2.54,40.6,,,20135.1
1998-05-18,914.4,2.64,42.3,,,16698.1
1998-05-25,952.0,2.75,44.1,,,12912.6
1998-06-01,1024.0,2.96,47.4,,,23567.0
1998-06-08,999.2,2.89,46.3,,,10390.2
1998-06-15,1054.4,3.05,48.8,,,15858.5
1998-06-22,1092.0,3.16,50.6,,,9684.4
1998-06-29,1140.0,3.29,52.8,,,18260.9
1998-07-06,1008.0,2.91,46.7,,,21756.8
1998-07-13,1086.4,3.14,50.3,,,11339.7
1998-07-20,1064.0,3.07,49.3,,,11854.4
1998-07-27,1217.6,3.52,56.4,,,22123.3
1998-08-03,1125.6,3.25,52.1,,,35470.1
1998-08-10,1195.2,3.45,34.0,,,21922.1
1998-08-17,1042.4,3.01,29.6,,,13747.5
1998-08-24,1145.6,3.31,32.5,,,17514.8
1998-08-31,1111.2,3.21,31.6,,,8135.1
1998-09-07,1159.2,3.35,32.9,,,9954.4
1998-09-14,1212.8,3.5,34.5,,,13908.2
1998-09-21,1180.0,3.41,33.5,,,29302.7
1998-09-28,1182.4,3.42,33.6,,,7753.7
1998-10-05,1228.0,3.55,34.9,,,8149.4
1998-10-12,1425.6,4.12,40.5,,,34153.0
1998-10-19,1523.2,4.4,43.3,,,19332.8
1998-10-26,1644.8,4.75,46.7,,,17094.9
1998-11-02,1559.2,4.51,44.3,,,16312.8
1998-11-09,1636.8,4.73,46.5,,,23332.2
1998-11-16,1804.0,5.21,51.2,,,20590.7
1998-11-23,1710.4,4.94,48.6,,,11533.3
1998-11-30,1711.2,4.94,48.6,,,4758.9
1998-12-07,1677.6,4.85,47.7,,,6101.5
1998-12-14,1577.6,4.56,44.8,,,6928.2
1998-12-21,1627.2,4.7,46.2,,,9366.3
1998-12-28,1578.4,4.56,44.8,,,3888.4
1999-01-04,1580.8,4.57,44.9,,,2700.5
1999-01-11,1572.8,4.54,44.7,,,4072.2
1999-01-18,1540.0,4.45,43.8,,,4568.3
1999-01-25,1637.6,4.73,46.5,,,7899.9
1999-02-01,1758.91,4.78,47.0,,,7386.9
1999-02-08,1717.81,4.67,45.9,,,2105.8
1999-02-15,1791.78,4.87,47.8,,,912.1
1999-02-22,1791.78,4.87,47.8,,,
1999-03-01,1738.36,4.72,46.4,,,2134.6
1999-03-08,1670.55,4.54,44.6,,,8807.6
1999-03-15,1771.24,4.81,47.3,,,21552.9
1999-03-22,1695.21,4.6,45.3,,,5170.4
1999-03-29,1725.0,4.68,46.1,,,6995.0
1999-04-05,1653.09,4.49,44.1,,,17471.0
1999-04-12,1659.25,4.51,44.3,,,4509.9
1999-04-19,1672.61,4.54,44.7,,,8034.7
1999-04-26,1647.95,4.48,44.0,,,2032.3
1999-05-03,1636.03,4.44,26.5,,,4071.8
1999-05-10,1570.98,4.27,25.5,,,3360.9
1999-05-17,1557.48,4.23,25.3,,,1261.7
1999-05-24,1669.17,4.53,27.1,,,4336.4
1999-05-31,1881.5,5.11,30.5,,,20907.6
1999-06-07,2220.24,6.03,36.0,,,26438.6
1999-06-14,1864.31,5.06,30.2,,,34983.7
1999-06-21,2043.5,5.55,33.2,,,34476.0
1999-06-28,2184.65,5.93,35.4,,,28829.0
1999-07-05,2379.79,6.46,38.6,,,57723.4
1999-07-12,2228.83,6.05,36.2,,,25743.8
1999-07-19,2180.96,5.92,35.4,,,26303.3
1999-07-26,2338.06,6.35,37.9,,,39351.6
1999-08-02,2276.7,6.18,36.9,,,32364.1
1999-08-09,2383.47,6.47,38.7,,,39080.4
1999-08-16,2227.6,6.05,36.1,,,12118.2
1999-08-23,2309.83,6.27,37.5,,,28807.8
1999-08-30,2261.97,6.14,36.7,,,18668.5
1999-09-06,2260.74,6.14,36.7,,,11514.9
1999-09-13,2304.93,6.26,37.4,,,24512.4
1999-09-20,2014.05,5.47,32.7,,,57242.1
1999-09-27,1950.23,5.3,31.6,,,15577.2
1999-10-04,1936.73,5.26,31.4,,,4803.9
1999-10-11,1924.45,5.23,31.2,,,1453.5
1999-10-18,1816.45,4.93,29.5,,,4685.3
1999-10-25,1717.03,4.66,27.9,,,4921.0
1999-11-01,1766.13,4.8,28.7,,,10398.6
1999-11-08,1736.67,4.72,28.2,,,3302.9
1999-11-15,1791.9,4.87,29.1,,,6287.7
1999-11-22,1854.5,5.04,30.1,,,11946.2
1999-11-29,1780.86,4.84,28.9,,,5080.3
1999-12-06,1788.22,4.86,29.0,,,2555.0
1999-12-13,1755.08,4.77,28.5,,,2497.2
1999-12-20,1767.35,4.8,28.7,,,3561.5
1999-12-27,1672.85,4.54,27.1,,,3515.4
2000-01-03,1687.58,4.58,22.9,4.2,,1819.3
2000-01-10,1877.81,5.1,25.5,4.68,,13842.3
2000-01-17,1872.91,5.09,25.4,4.66,,14155.0
2000-01-24,1890.09,5.13,25.7,4.71,,30473.5
2000-01-31,1931.82,5.25,26.2,4.81,,14354.0
2000-02-07,1931.82,5.25,26.2,4.81,,
2000-02-14,2085.23,5.66,28.3,5.19,,7332.2
2000-02-21,1914.63,5.2,26.0,4.77,,32350.0
2000-02-28,1850.81,5.03,25.1,4.61,,17861.1
2000-03-06,1888.86,5.13,25.6,4.7,,19102.6
2000-03-13,1950.23,5.3,26.5,4.86,,22779.0
2000-03-20,1886.41,5.12,25.6,4.7,,16107.3
2000-03-27,2005.46,5.45,27.2,4.99,,24506.5
2000-04-03,1940.41,5.27,26.3,4.83,,18067.4
2000-04-10,2045.96,5.56,27.8,5.09,,17788.7
2000-04-17,1958.82,5.32,26.6,4.88,,13586.1
2000-04-24,2025.09,5.5,27.5,5.04,,14498.5
2000-05-01,2052.09,5.57,27.9,5.11,,15815.6
2000-05-08,2130.64,5.79,28.9,5.31,,6282.1
2000-05-15,1917.09,5.21,26.0,4.77,,12894.9
2000-05-22,2037.37,5.53,27.7,5.07,,14146.6
2000-05-29,2037.37,5.53,27.7,5.07,,14132.0
2000-06-05,2072.96,5.63,28.1,5.16,,33811.9
2000-06-12,1960.66,5.32,26.6,4.88,,13827.5
2000-06-19,1953.3,5.3,26.5,4.86,,8179.0
2000-06-26,1973.55,5.36,26.8,4.91,,7144.8
2000-07-03,1918.32,5.21,26.1,4.78,,7645.4
2000-07-10,1979.07,5.37,26.9,4.93,,5740.7
2000-07-17,2102.42,5.71,28.6,5.24,,21433.0
2000-07-24,2026.94,5.5,27.5,5.05,,7722.7
2000-07-31,1986.44,5.39,27.0,4.95,,10027.0
2000-08-07,1984.6,5.39,27.0,4.94,,7916.3
2000-08-14,2014.05,5.47,27.4,5.02,,7520.6
2000-08-21,2187.11,5.94,29.7,5.45,,29346.5
2000-08-28,2163.17,5.87,29.4,5.39,,25888.8
2000-09-04,2006.69,5.45,27.3,5.0,,8910.7
2000-09-11,1977.23,5.37,26.9,4.92,,4234.9
2000-09-18,1929.37,5.24,26.2,4.8,,3311.7
2000-09-25,1841.0,5.0,25.0,4.58,,3591.9
2000-10-02,1861.25,5.05,25.3,4.63,,1632.4
2000-10-09,1883.34,5.11,25.6,4.69,,453.0
2000-10-16,1894.39,5.14,25.7,4.72,,3135.9
2000-10-23,1982.76,5.38,26.9,4.94,,5630.3
2000-10-30,1931.21,5.24,26.2,4.81,,4183.1
2000-11-06,1922.0,5.22,26.1,4.79,,2720.0
2000-11-13,1991.96,5.41,27.1,4.96,,4783.9
2000-11-20,1979.07,5.37,26.9,4.93,,6003.8
2000-11-27,2045.35,5.55,27.8,5.09,,10546.9
2000-12-04,2115.31,5.74,28.7,5.27,,29337.6
2000-12-11,2034.3,5.52,27.6,5.07,,4779.0
2000-12-18,1973.55,5.36,26.8,4.91,,3803.1
2000-12-25,1956.98,5.31,26.6,4.87,,4615.6
2001-01-01,1990.12,5.4,27.0,4.66,,2493.7
2001-01-08,2006.69,5.45,27.3,4.69,,5250.7
2001-01-15,1991.96,5.41,27.1,4.66,,7464.0
2001-01-22,2010.37,5.46,27.3,4.7,,2043.7
2001-01-29,2010.37,5.46,27.3,4.7,,
2001-02-05,2001.17,5.43,27.2,4.68,,577.7
2001-02-12,1960.66,5.32,26.6,4.59,,2211.8
2001-02-19,1929.37,5.24,26.2,4.51,,1441.8
2001-02-26,1910.96,5.19,25.9,4.47,,2190.5
2001-03-05,1933.05,5.25,26.3,4.52,,1490.8
2001-03-12,1940.41,5.27,26.4,4.54,,2834.7
2001-03-19,1969.87,5.35,66.9,4.61,,3040.5
2001-03-26,1966.19,5.34,66.8,4.6,,4117.7
2001-04-02,2010.37,5.46,68.3,4.7,,4201.7
2001-04-09,1969.87,5.35,66.9,4.61,,2970.1
2001-04-16,2032.46,5.52,69.0,4.75,,6460.9
2001-04-23,1982.76,5.38,67.3,4.64,,4820.6
2001-04-30,1931.21,5.24,65.6,4.52,,4584.1
2001-05-07,1931.21,5.24,65.6,4.52,,
2001-05-14,1999.33,5.43,67.9,4.68,,3080.3
2001-05-21,2028.78,5.51,68.9,4.75,,5772.0
2001-05-28,2034.3,5.52,69.1,4.76,,4818.6
2001-06-04,2155.81,5.85,73.2,5.04,,24061.6
2001-06-11,2087.69,5.67,70.9,4.88,,12564.0
2001-06-18,2025.1,5.5,68.8,4.74,,6090.4
2001-06-25,2067.44,5.61,70.2,4.84,,3774.6
2001-07-02,2074.81,5.63,70.4,4.85,,3367.7
2001-07-09,1999.33,5.43,67.9,4.68,,2627.9
2001-07-16,1991.96,5.41,67.6,4.66,,1760.1
2001-07-23,2008.53,5.45,68.2,4.7,,1867.1
2001-07-30,1898.07,5.15,64.4,4.44,,4967.0
2001-08-06,1820.75,4.94,61.8,4.26,,2653.9
2001-08-13,1859.41,5.05,63.1,4.35,,1548.1
2001-08-20,1824.43,4.95,61.9,4.27,,1692.0
2001-08-27,1702.92,4.62,57.8,3.98,,1504.4
2001-09-03,1699.24,4.61,57.7,3.97,,2154.0
2001-09-10,1704.77,4.63,57.9,3.99,,1204.4
2001-09-17,1553.8,4.22,52.8,3.63,,1746.0
2001-09-24,1566.69,4.25,53.2,3.66,,959.0
2001-10-01,1592.46,4.32,54.1,3.73,,727.6
2001-10-08,1557.49,4.23,52.9,3.64,,110.0
2001-10-15,1502.26,4.08,51.0,3.51,,1666.8
2001-10-22,1270.29,3.45,43.1,2.97,,1390.9
2001-10-29,1459.91,3.96,49.6,3.42,,3530.6
2001-11-05,1472.8,4.0,50.0,3.45,,1014.0
2001-11-12,1389.95,3.77,47.2,3.25,,899.0
2001-11-19,1526.19,4.14,51.8,3.57,,3575.7
2001-11-26,1528.03,4.15,51.9,3.57,,1925.3
2001-12-03,1656.9,4.5,56.3,3.88,,3678.6
2001-12-10,1634.81,4.44,55.5,3.82,,2350.0
2001-12-17,1564.85,4.25,53.1,3.66,,1719.3
2001-12-24,1470.96,3.99,49.9,3.44,,1894.0
2001-12-31,1563.01,4.24,53.1,3.66,,986.0
2002-01-07,1500.41,4.07,50.9,7.4,,149.0
2002-01-14,1441.5,3.91,48.9,7.11,,818.3
2002-01-21,1132.21,3.07,38.4,5.59,,1762.3
2002-01-28,1086.19,2.95,36.9,5.36,,3795.4
2002-02-04,1331.04,3.61,45.2,6.57,,5273.5
2002-02-11,1331.04,3.61,45.2,6.57,,2821.1
2002-02-18,1331.04,3.61,45.2,6.57,,
2002-02-25,1353.13,3.67,45.9,6.68,,308.2
2002-03-04,1369.7,3.72,46.5,6.76,,2492.9
2002-03-11,1618.24,4.39,54.9,7.98,,15766.0
2002-03-18,1494.89,4.06,50.8,7.37,,8147.6
2002-03-25,1535.39,4.17,52.1,7.57,,4756.0
2002-04-01,1511.46,4.1,51.3,7.46,,5811.7
2002-04-08,1496.73,4.06,50.8,7.38,,2770.3
2002-04-15,1577.74,4.28,53.6,7.78,,6602.1
2002-04-22,1537.23,4.17,52.2,7.58,,2318.8
2002-04-29,1566.69,4.25,53.2,7.73,,2098.3
2002-05-06,1555.64,4.22,52.8,7.67,,522.4
2002-05-13,1516.98,4.12,51.5,7.48,,2578.2
2002-05-20,1426.77,3.88,48.4,7.04,,3018.7
2002-05-27,1482.0,4.02,50.3,7.31,,2284.9
2002-06-03,1371.54,3.72,46.6,6.77,,1533.2
2002-06-10,1389.95,3.77,47.2,6.86,,2824.2
2002-06-17,1353.13,3.67,45.9,6.68,,1591.3
2002-06-24,1653.22,4.49,56.1,8.16,,16155.4
2002-07-01,1918.32,5.21,65.1,9.46,,32071.6
2002-07-08,1885.18,5.12,64.0,9.3,,21089.7
2002-07-15,1890.71,5.13,64.2,9.33,,11225.4
2002-07-22,1813.38,4.92,61.6,8.95,,8944.5
2002-07-29,1787.61,4.85,60.7,8.82,,3165.5
2002-08-05,1756.31,4.77,59.6,8.66,,1126.0
2002-08-12,1752.63,4.76,59.5,8.65,,1210.1
2002-08-19,1818.91,4.94,61.8,8.97,,2097.4
2002-08-26,1772.88,4.81,60.2,8.75,,3266.3
2002-09-02,1780.25,4.83,60.4,8.78,,1396.5
2002-09-09,1712.13,4.65,58.1,8.45,,1253.5
2002-09-16,1815.23,4.93,70.4,8.96,,8099.2
2002-09-23,1872.3,5.08,72.6,9.24,,25764.6
2002-09-30,1875.98,5.09,72.8,9.25,,3898.0
2002-10-07,1875.98,5.09,72.8,9.25,,
2002-10-14,1811.54,4.92,70.3,8.94,,3241.6
2002-10-21,1748.95,4.75,67.9,8.63,,6567.4
2002-10-28,1741.59,4.73,67.6,8.59,,10783.0
2002-11-04,1728.7,4.69,67.1,8.53,,2237.1
2002-11-11,1671.63,4.54,64.9,8.25,,2053.8
2002-11-18,1509.62,4.1,58.6,7.45,,1863.3
2002-11-25,1421.25,3.86,55.1,7.01,,2220.4
2002-12-02,1419.41,3.85,55.1,7.0,,2526.7
2002-12-09,1424.93,3.87,55.3,7.03,,2936.0
2002-12-16,1526.19,4.14,59.2,7.53,,8046.6
2002-12-23,1550.12,4.21,60.1,7.65,,8140.2
2002-12-30,1474.64,4.0,57.2,7.27,,6855.7
2003-01-06,1417.57,3.85,55.0,9.22,,2066.5
2003-01-13,1454.39,3.95,56.4,9.46,,1637.2
2003-01-20,1515.14,4.11,58.8,9.86,,3455.0
2003-01-27,1568.53,4.26,60.9,10.2,,5924.7
2003-02-03,1535.39,4.17,59.6,9.99,,1590.3
2003-02-10,1535.39,4.17,59.6,9.99,,276.8
2003-02-17,1597.99,4.34,62.0,10.4,,5706.5
2003-02-24,1535.39,4.17,59.6,9.99,,9999.9
2003-03-03,1597.99,4.34,62.0,10.4,,4591.9
2003-03-10,1559.33,4.23,60.5,10.14,,4832.6
2003-03-17,1509.62,4.1,58.6,9.82,,1364.3
2003-03-24,1463.59,3.97,56.8,9.52,,1424.8
2003-03-31,1441.5,3.91,55.9,9.38,,4041.2
2003-04-07,1371.54,3.72,53.2,8.92,,8054.7
2003-04-14,1402.84,3.81,54.4,9.13,,13614.1
2003-04-21,1327.36,3.6,51.5,8.64,,13796.8
2003-04-28,1240.83,3.37,48.1,8.07,,3045.3
2003-05-05,1238.99,3.36,48.1,8.06,,1669.4
2003-05-12,1200.33,3.26,46.6,7.81,,419.0
2003-05-19,1240.83,3.37,48.1,8.07,,3650.4
2003-05-26,1297.9,3.52,50.4,8.44,,3239.9
2003-06-02,1316.31,3.57,51.1,8.56,,8292.1
2003-06-09,1255.56,3.41,48.7,8.17,,3375.0
2003-06-16,1266.61,3.44,49.1,8.24,,1278.4
